article;lang
nτραγούδια χορεύονται μερικοί χοροί και;pontic
nστο τέλος δίνονται οι;pontic
ανάλογες ευχές και ο κόσμος αποχωρεί;pontic
nαπό τη σκηνή;pontic
Στους θεατές Εσείς αν θέλετε καθέστεν;pontic
nκι αν θέλετε δεβάτε σ οσπίτö σουν Σην;pontic
nχαράν χωρίς;pontic
άλλο θα λαλούμε σας Φιλάει την Παλάσα;pontic
nκαι την Παρέσα και φεύγει;pontic
Τεμôκ Παλάσα εγένταν αΐκα πράματα με;pontic
nτον Κώστη και την Κάλην;pontic
Εγένταν άφεντα εγένταν;pontic
Η Παλάσα με την Παρέσα αποχωρούν;pontic
Ας πάω κ εγώ ατώρα κι αποτενύ όλö καλά;pontic
nνα πάνε Φεύγει τελευταίος;pontic
ΠΡΑΞΗ Γ;pontic
Στο σπίτι της Συμέλας Μετά τη στέψη;pontic
nέρχονται οι νεόνυμφοι με τη συνοδεία;pontic
nοργάνων όπου;pontic
ακολουθούν έθιμα όπως το σπάσιμο;pontic
nπιάτου από τη νυφη χοροί και χαρίσματα;pontic
Η Παρέσα με την είσοδο της στο σπίτι;pontic
nσπάζει με το πόδι της ένα πιάτο που;pontic
nβάζουν γι αυτό το;pontic
σκοπό;pontic
Οι οργανοπαίχτες παίζουν διάφορους;pontic
nσκοπούς και οι καλεσμένοι χορεύουν;pontic
nΜετά από δύο τρείς;pontic
χορούς αρχίζει το χάρισμα Ένας ειδικός;pontic
nεκφωνητής ο τελάλτς εκφωνεί τα ονόματα;pontic
nαυτών που;pontic
χαρίζουν κάτι και τι είναι το κάθε nδώρο;pontic
Ο λυράρης πάιζει και τραγουδάει;pontic
Φέρ τε φέρ τε φέρ τε και τ οπίσ nπα μ;pontic
έρται;pontic
εκατόν δακόûö χίλö πεντακόûö;pontic
ΤΕΛΑΛΤΣ;pontic
Η Μαρία τη Κουτάλ χαρίζ τον γαμπρόν;pontic
nέναν ζευγάρ ûαλένö ορτάρö για να μη;pontic
nριγούνε τον;pontic
üειμωγκόν τα ποδάρö τ Το καλοκαίρ;pontic
nεπορεί και λάûκεται και οξυπόλ τος;pontic
Ο Γιάννες τ Αμανάτ χαρίζ τον nγαμπρόν;pontic
έναν τρανόν πεûκίρ και την nνύφεν ένα;pontic
παρχάτû να κολλίζ απέσ;pontic
το ξύγαλαν;pontic
Τη χρόν με τ είναν καλέσσαν νύφεν για;pontic
nτον γιον ατ τον Νάστον τον παχλιβôνον;pontic
nτη χωρί εμουν;pontic
Ο Παύλον τοι Παιδίων θείος τη γαμπρού;pontic
nχαρίζ έναν δίλαβον Ο Στάθον τη Νινίας;pontic
nχαρίζ τον;pontic
γαμπρόν έναν σάτû να ψέν απάν η νύφε nτα;pontic
λαβάûö;pontic
Ο Ηλίας τη Μητάκ χαρίζ έναν εγδίν n;pontic
σκορδοκόπαλον να κοπανίζ η νυφε το;pontic
nκιφάλ τη πεθεράς;pontic
Η Τασία τη Νταντάγιαννε θεία τη nγαμπρού;pontic
χαρίζ έναν καρσάν να nζουμών απέσ η νύφε;pontic
τα ψωμία;pontic
Τη Τûιλιγγάρ ο γαμπρόν ο Χρήστον ας nσην;pontic
Ελασσώναν χαρίζ τον γαμπρόν τρία;pontic
nüιλιάδας;pontic
Και σα παιδία τ;pontic
Ο Νικόλας τη Πασελή εξάδελφος τη;pontic
nγαμπρού χαρίζ τρία üιλιάδας;pontic
Η Χατούνα θεία τη γαμπρού χαρίζ έναν;pontic
nκουκούμ Η Κάλη τη Αλεξίνας θεία τη;pontic
nγαμπρού χαρίζ έναν;pontic
σαμοβάρ;pontic
Η Μελάνα τη Γοργορίνας γειτονάσσα τη;pontic
nγαμπρού χαρίζ το γαμπρόν έναν καμίσ;pontic
nκαι την νύφεν;pontic
έναν ζευγάρ ναλία και έναν ζευγάρ;pontic
nπιάστρας να μη κάεται όντες κατηβάζ;pontic
nτην τάνùöρην με το φαΐν;pontic
Έστειλεν και ο Αλαφούντογλης έναν;pontic
nκολογκύθ τρανόν άμον το κιφάλ ν nατ;pontic
Πέει τ öτον ας έν καλά;pontic
Η Θυμία τη Κετûέρ χαρίζ έναν κοσσούν nμε;pontic
τα πουλία τ ς;pontic
Ο Μήτον τη Τûανûατάν χαρίζ τον nγαμπρόν;pontic
έναν μουχτεροπούλ;pontic
Τη Τûαφιτάν ο Γοργόρτς χαρίζ τον;pontic
nγαμπρόν ένα ταντùαρην ûöνταχλήν και τ;pontic
nολόγερα πορτûικλήν;pontic
Άφεριμ τον παûά μ τον Γοργόρ Να ζει nκαι;pontic
να έχουμ ατον;pontic
Ο Στοφόρον ο θείον τη νύφες χαρίζ nέναν;pontic
μοζίκαν τον γαμπρόν και έναν nμεταξωτόν;pontic
φιστάν την νύφεν;pontic
Να έν καλά;pontic
Η Λίτα η προξενήτρα χαρίζ τον γαμπρόν;pontic
nδύο τûιλούκια με την ýην και την νύφεν;pontic
nέναν μεταξωτόν φιστάν;pontic
Ο Κόντûας ο Γιωρίκας χαρίζ ντο nπράμαν;pontic
έν αβούτο;pontic
Το περιεργάζεται αλλά δεν καταλαβαίνει;pontic
nτι είναι και στο τέλος λέει Ο Κόντûας ο;pontic
nΓιωρίκας είπα χαρίζ έναν;pontic
θάμαν;pontic
Μετά χορεύονται διάφοροι χορόι και;pontic
nτελευταία τα εφτά μονοστέφανα κ nαραέτσ;pontic
πα τελείται η χαρά;pontic
ΤΕΛΟΣ;pontic
Όλö για την Παναΐλαν;pontic
ΠΡΑΞΗ Α;pontic
Δωμάτιο χωριάτικο με τζάκι Ένας;pontic
nτέντζερες στη φωτιά ένα τραπέζι και;pontic
nμερικά καθίσματα;pontic
Ο Κώστης και η γυναίκα του Σοφία αφήνουν;pontic
nγια λίγο το πανηγύρι του χωριού τους;pontic
και nεπιστρέφουν;pontic
στο σπίτι να φάνε να ξεκουραστούν και να;pontic
nξαναπάνε στο πανηγύρι Είναι όμως;pontic
nθυμωμένοι που δεν;pontic
είδαν το ξαδελφό τους τον Γιωρίκαν που;pontic
nζει μαζί τους και είναι κλασικός τύπος;pontic
nτεμπέλη;pontic
Ο άνιφτον και ο ανευλόετον αδαπέσ πα n κ;pontic
ΣΟΦΙΑ;pontic
Άλλο κ επορώ να υποφέρ ατον nεμαυρίνεν;pontic
τα τûικάρö μ;pontic
Σόφια λελεύω την ýη σ ποίσον nυπομονήν;pontic
Κώστη άλλο μη λες με ποίσον υπομονήν;pontic
Σόφια;pontic
Θα ζαντύνω αβούτο ντο έτον σ εμόν το;pontic
nκιφάλ;pontic
Νέκουτûη ησύχασον μ ερχίνεσες ξαν;pontic
nποίσον είπα σε υπομονήν;pontic
Όσον πόσον θα ευτά γ ω υπομονήν όσον;pontic
nπόσον κι θα λαλώ όσον πόσον θα κουρτώ;pontic
nατα;pontic
Θεού πλάσμαν είμαι κ εγώ Τον βώκον n;pontic
λοπούτ να καλατûεύς ατον πα κ nεπορείς;pontic
Αμάν παίρτσε και στέκ Έναν λες εσύ και;pontic
nδέκα ακούς Και ούτε έü νιάτö πάει nχάται;pontic
και να;pontic
γουρταρεύκουμες Αΐκον πα άλλο κ nείδα;pontic
Καλά λες Σόφια άμα ντο να ευτάμε nκρίμαν;pontic
Τερώ πονείς ατον πα Άμα εκείνος έν;pontic
nκρίμαν γιόξα εγώ Έναν δουλείαν κ;pontic
nευτάει ο κατακέφαλον;pontic
Όλö ας εμάς αναμέν;pontic
Το σοχαχόûκυλον που επήεν εχάθεν ξαν;pontic
nΟσήμερον σο χωρίον εμουν πανοΰρ κι;pontic
nατός πουδέν κι;pontic
φαίνεται;pontic
Δοκιμάζει το φαγητό Ολίγον άναλον έν n;pontic
Βάζει λίγο αλάτι και δείχνοντας το;pontic
nλαιμό της λέει Ως;pontic
αδακά έγκε με;pontic
Σωστά λες Σόφια άμα ντο να ευτάμε Τ;pontic
nεμέτερον έν κι θα χάνουμ ατον;pontic
Εσύ ζατί πάντα εκείνον φορτούσαι;pontic
Ντο να ευτά γ ω και πώς να ευτά γ ω Πέει;pontic
nμε;pontic
Ντο να ευτάς πα ντο λόγος έν Δος ατον;pontic
nστράταν;pontic
Ατό Σόφια ένας λόγος έν δός ατον;pontic
nστράταν Να έξερες Σόφια πόσα φοράς;pontic
nέρθε με να ευτά γ ω;pontic
ατό ντο λες άμα πονώ ατον;pontic
Ο θείο μ ο Γοργόρτς και να έξερες nπόσον;pontic
εγάπανε με όντες έτον σα nτελευταία τ;pontic
έκουξε με και;pontic
είπε με Κώστη τον Γιωρίκαν και τα;pontic
nομμάτö σ Μάναν ο καημένον κ nεγνώρτσεν;pontic
Έλα ατώρα εσύ σ εμόν την οδήν και πέει;pontic
nμε ντο θα εποίνες;pontic
Δείχνει να συγκινείται προσωρινά Εγώ;pontic
nπα πονώ ατον άμα όσον πόσον θα υποφέρ;pontic
nατον;pontic
Ολίγον υπομονήν αν εξέρτς ατο κ nεποίκα;pontic
Ποίος επορεί και υποφέρ öτον nατόσα;pontic
χρόνö;pontic
Να έξερεν και τα μôκια μουν;pontic
Πού επήεν εχάθεν ο αφορισμένον;pontic
Για δέβα τέρεν σ αüερών τ Αλέξη;pontic
nΕκειαπέσ πα πολλά φοράς επήεν nεκοιμέθεν;pontic
κ επέμ νεν;pontic
Καλά λες Σόφια για ας πάω κρού γ ω κ nεκέσ;pontic
ένα κιφάλ Φεύγει;pontic
Μονολογεί Αχ εγώ η μάρσα πώς ετûάτεψα;pontic
nαΐκον πελôν Εθαρείς αμον τίζα επίασεν;pontic
nαπάν εμουν;pontic
Ασπρον ημέραν κ είδα ας σο έρθα nνυφάδ;pontic
αδαπέσ Ατόν έρθα να υποφέρω nΣην ώραν ατ;pontic
καμίαν;pontic
κ έρται πάντα παρώρας Έναν δουλείαν n κ;pontic
ευτάει Ν απιτάεις ατον πουδέν n κ;pontic
επορείς Όλö απ;pontic
ομάλö θέλ να έρταν ατον Ας ατον τον;pontic
nπαιδάν δεν κ εγροίκ σα Επουγαλεύτα nκαι;pontic
όσον εδöρμένεψα;pontic
τον Για έναν μουσκάρ καλατûεύς για;pontic
nεκείνον έναν έν Άλλο κ ηξέρω ντο να;pontic
nλέγω και ντο να;pontic
ευτά γ ω;pontic
Παραξενεύεται όμως που αυτή τη φορά το;pontic
nπαράκανε Άμον τ οσημερ νόν καμίαν n κ;pontic
έτονε;pontic
Καμίαν κ επεμείνεν ατόσον αργώς Εγώ nπα;pontic
θαμάουμαι και πολλά αγνόν έρται με nΝα;pontic
επέρεν το;pontic
κιφάλ ν ατ και να επήεν εχάθεν Λαü;pontic
nευτάει έναν αΐκον δουλείαν ο θεόν να;pontic
nφωτίζ öτον;pontic
Άμα ντ εξέρω ν αφήν την γιαχάν εμουν nΠου;pontic
θα ευρήκ άλλ να κάμ νε κ εκείνος nχαζούρö;pontic
τρώει;pontic
Ξαφνιάζεται όμως όταν ακούει τον;pontic
nΓιωρίκα να τραγουδάει και να έρχεται;pontic
Εμέν Γιωρίκα λέγ νε με είμ ας την;pontic
nΤράπεζούνταν;pontic
Οϊ ν αϊλί και να βάϊ εμέν μανίτσα nποίος;pontic
ακούει ατον ξαν;pontic
Τραγουδάει Τα κόρτσοπα ντ ελέπ νε με;pontic
nσκοτούνταν παλαλούνταν;pontic
Για τα τραγωδίας πρώτος έν για nδουλείαν;pontic
μανάχον μη λέτ öτον;pontic
Τραγουδάει Τα κόρτσοπα ντ ελέπ νε με nτη;pontic
νύχταν κι κοιμούνταν;pontic
Για τ εσέν όρωμαν κ ελέπ νε nγάβλαν έπαρ;pontic
το χαπάρ;pontic
Τραγουδάει Εμέν Γιωρίκα λέγ νε με;pontic
nκανέναν κι φογούμαι;pontic
Άρκο εσύ πα τίναν θα φογάσαι;pontic
Τραγουδάει Τρώγω πίνω και λάσκουμαι;pontic
nκαι σ αüερών κοιμούμαι;pontic
Ατό πα εξέρουμ ατο ντο λέγ νε σε nΓιωρίκα;pontic
και ντο κοιμάσαι σ αüερών nάμα ντ εγροίκ;pontic
σεν το;pontic
γουτουρεμένον το ûκυλίν;pontic
Μπαίνοντας Σόφια ντο φαΐν εμάειρεψες;pontic
nεσκουλντούτσεν αβούτο τ απέσ Άπ nέξ;pontic
εντώκε με η;pontic
μυρωδία;pontic
Θυμωμένα Για το φαΐν έρθες οκνέα;pontic
nαφορισμένε;pontic
Ναι Σόφια για το φαΐν έρθα πολλά;pontic
nεπείνασα τα ιντέρö μ εδέβαν σ έναν nσ;pontic
άλλο ελιγώθα Δος με;pontic
αγλήγορα ας τρώγω;pontic
Τεμôκ αν κ επείνανες κι θα nέρχουσ νε;pontic
Ατό πα ποίος είπεν ατο Και γιατί να μη;pontic
nέρχουμ νε;pontic
Οσήμερον άμον πολλά χαρεμένον ελέπω nσε;pontic
Πολλά είδες ατο Ας είμαι κ εγώ πα μίαν;pontic
nχαρεμένος;pontic
Και ντο εξέρτς και είσαι χαρεμένος n;pontic
Στους θεατές Λάü εφώτ σεν ατον ο nθεόν;pontic
και παίρ το;pontic
κιφάλ ν ατ και πάει χάται Τε πέει;pontic
nαγλήγορα ας ακούω γιατί είσαι χαρεμένος;pontic
nνα χάρουμαι κ εγώ;pontic
Μ αγληγορείς ποίσον ολίγον υπομονήν;pontic
Και μôρ εγώ η μάρσα άλλο τιδέν ευτά γ ω;pontic
nΑς σο πρωί ως το βράδον άλλο τιδέν κι;pontic
μαναχόν ποίσον υπομονήν Υπομονήν ο;pontic
nΚώστης υπομονήν ατώρα και ο Γιωρίκας;pontic
nΌσον επόρεσα;pontic
εποίκα άλλο κ επορώ Για πέει με;pontic
nαγλήγορα ας τερούμ ντο παλαλά θα nακούω;pontic
Εσύ η γαρή ντο έεις μετ εμέν και όντες;pontic
nελέπ ς με αμάν τιτûώντς και λιβώντς;pontic
nαμάν έρταν ευρήκ νε;pontic
σε τα αι γ ίδö σ;pontic
Για πέει με πού έσ νε όσον τώρα και;pontic
nπολλά μη λαλείς;pontic
Και γιατί κ ερωτάς με το γλυκύν τη;pontic
nγλώσσαν;pontic
Με το γλυκύν τη γλώσσαν πα εκαλάτûεψα;pontic
nσε άμα εσύ δύο γενέας κ εγένουσ νε;pontic
Άμον τα οσημερ νόν την ημέραν καμίαν n κ;pontic
έσ νε;pontic
Αν εξέρτς ατο τρανόν υπομονήν εποίνα;pontic
Η υπομονή Σόφια καλόν πράμαν έν άμα nγια;pontic
πέει με κι ας ακούω ντο θέλτς;pontic
Αφορισμένε σαλαχανά πού πας χάσαι;pontic
nκάθαν ημέραν και καμίαν κ έρüεσαι με;pontic
nτον καιρόν σ;pontic
οσπίτ;pontic
Και ντο να έρχουμαι ευτά γ ω;pontic
Ντο να ευτάς πα ντο λόγος έν Τη nκόσμονος;pontic
τα δουλείας έχουμε κ εσύ nεπεκέσ ξάι κ;pontic
έρüεσαι;pontic
Σόφια ξάι μη στεναχωρεύκεσαι και ξάι μη;pontic
nτρως την ýη σ Γάλö γάλö όλö θα ίνταν;pontic
nΕμέν πα κ;pontic
ελέπ ς;pontic
Εσέν ντο να ελέπω;pontic
Έναν κι θήκω σο ûκοινίν;pontic
Τέρεν εσύ αβούτον τον παλαλόν ντο λέει;pontic
nτέρεν εσύ πώς ευτάει σε και ζουτλανεύκεσαι;pontic
Σόφια είπα σε μη τρως την ýη σ Αβούτος nο;pontic
κόσμος ψεύτικος έν και σην κανάν κι nθ;pontic
απομέν;pontic
Κουνώντας το κεφάλι Τερώ πολλά έμορφα;pontic
nλες ατα;pontic
Σόφια εγώ αΐκος είμαι έμορφα πάντα;pontic
nέμορφα λέγ ατα;pontic
Εσύ έμορφα λες ατά τράτσο αφορισμένε;pontic
nάμα άλλ κάμ νε και φάζ νε σε Τ nοπίσ;pontic
καμίαν κι;pontic
νουνίεις;pontic
Ατά Σόφια χάσον ατα ατώρα αΐκα θα;pontic
nκάθουμες και λέμε;pontic
Και ντο θέλτς να λέμε;pontic
Είπα σε χάσον ατα και πέει με πού έν ο;pontic
nΚώστης;pontic
Ντο θα ευτάς ατον εροθύμεσες ατον;pontic
Εροθύμεσα τον Τεμôκ κι θα ερωτώ nκαι πού;pontic
έν ο εξαδελφό μ Ντ άγνεσσα nείσαι κ εσύ;pontic
Θέλτς να μαθάντς Εσέν επήεν κι nαραεύ;pontic
Και πού επήεν αράευ με;pontic
Σ αüερών τ Αλέξη;pontic
Σ αüερών τ Αλέξη επήεν και αραεύ nμε;pontic
Ναι σ αüερών τ Αλέξη αγνόν εφάνθε nσε;pontic
Εγώ έν πολλά καιρός άλλο εκέσ κ nεδέβα;pontic
Σο πανοΰρ κ έσ νε αδά έρθαμ κ nεύραμε σε;pontic
Είπαμε θα είσαι σ αüερών nτ Αλέξη;pontic
Επήετε και σο πανοΰρ;pontic
Επήγαμε Έρθαμε να τρώμε να αναπάουμες;pontic
nολίγον και ξαν θα πάμε;pontic
Εγώ πα πολλά εθέλ να να επένα άμα nώκνησα;pontic
Καλά εσύ πού έσ νε όσον τώρα;pontic
Αφκά σο ποτάμ σο κουτρούκ κέσ;pontic
Εκέσ πα ντο δουλείαν είüες Γιάμ nεσέγκες;pontic
σο νους να φουρκίεσαι;pontic
Ντο λες Σόφια παλαλός είμαι να ευτά γ ω;pontic
nαΐκον δουλείαν;pontic
Ντο να εξέρω Ας εσέν όλö να αναμέν öτα;pontic
nκανείς;pontic
Τα κέφö ντο έχω εγώ για φούρκι γ μαν;pontic
nείμαι;pontic
Και ντο κέφö έεις αφορισμένε μαλεζά;pontic
Ας σα τραγωδίας ι μ κ εγροίκ σες nτιδέν;pontic
Ας σα τραγωδίας ι σ ντο να εγροικώ nΆλλ;pontic
τραγωδούν γιατί έχ νε σεβτάν κι nάλλ πα;pontic
τραγωδούν γιατί;pontic
σο κιφάλ ν ατουν κάτ λαλεί;pontic
Σ εμόν το κιφάλ τιδέν κι λαλεί;pontic
Τεμôκ αέτσ όπως λες εσύ σεβταλής nείσαι;pontic
και είσαι ατόσον κεφλής Άμον nαγνόν;pontic
έρται με;pontic
Σόφια άλλο δεν έεις να λες Θα φέγω;pontic
Πού θα πας Στους θεατές Λέτε να nεφώτ σεν;pontic
ατον ο θεόν και ευτάει έναν nαΐκον καλόν;pontic
Ντο λες Σόφια κ εγροίκ σα;pontic
Ειρωνικά Γιάμ εσέγκες σο νούς ν nαφήντς;pontic
μας και φέεις Ατό αν ευτάς ατο nπολλά;pontic
θα;pontic
στεναχωρεύκουμες;pontic
Σόφια ακόμαν κ επαλαλώθα να ευτά γ ω;pontic
nέναν αΐκον δουλείαν Πού θα ευρήκω άμον;pontic
nεσάς;pontic
Είπα κ εγώ ο Γιωρίκας αφήν μας nκαμίαν;pontic
και φέει;pontic
Ατό σο νου μ καμίαν κ εδέβεν;pontic
Στους θεατές Εγώ πα εθάρεσα θα πάει;pontic
nχάται και θα γουρταρεύκουμες;pontic
Κ επεκεί εσείς χωρίς εμέν κι nεπορείτε;pontic
να ευτάτε;pontic
Ειρωνικά Σωστά λες πολλά σωστά λες;pontic
nεμείς κ επορούμ να ευτάμε χωρίς nεσέν;pontic
Στους θεατές;pontic
Μίαν να επένεν εχάσον;pontic
Κι ατώρα Σόφια άκ σον ντο θα λέγω nσε;pontic
Ακούω Εσύ μαναχόν πέει;pontic
Άλλο κ επορώ να κρατώ ατο απέσ ι μ;pontic
nκρυφόν κ επορώ να έχ ατο Έν ένας nχρόνος;pontic
ασσό;pontic
Ατό θα έλεες με;pontic
Σόφια θα πάτε μετ εμέν;pontic
Απορημένη Γιώρικα πού θα πάμε;pontic
Πώς θα λέγ ατο κάνει διάφορους nμορφασμούς;pontic
τρίβει τα χέρια του από nαγωνία θα πάτε;pontic
κορδυλôεται η γλώσσα μ άμα πρέπ να nλέγ;pontic
ατο κανείται ντ εκράτεσα το nαπέσ ι μ;pontic
Τε αφορισμένε πέει πού θα πάμε Έσπασεν;pontic
nη χολή μ;pontic
Κομπιάζοντας Θα πάτε μετ εμέν σο ψ α λ nά;pontic
φ ε μ α ν;pontic
Νέπαι τρίüειλε ντο είπες έκ σα nκαλά;pontic
Ντ εχπαράες Θα πάτε μετ εμέν σο ψ α λ nά φ;pontic
ε μ α ν;pontic
Βάζει το χέρι της στο αυτί της και;pontic
nρωτάει Σο ψαλάφεμαν είπες;pontic
Ναι σο ψαλάφεμαν είπα σο ψαλάφεμαν;pontic
Γιώρικα γιάμ επαλαλώθες;pontic
Ξάι πα Και πού είδες τα παλαλά;pontic
Στους θεατές Αβούτος τûιπ εδέβασεν ατο;pontic
nκα κ εγώ εθάρεσα εχουλôεψεν Στο;pontic
nΓιωρίκα;pontic
Καιρόν είχα να έκουα τα παλαλωτά nσ;pontic
Τεμôκ ήντöν λέγω εγώ παλαλωτά nείναι;pontic
Παλαλωτά κ έιναι και ντο είναι;pontic
Σόφια γιατί καλατûεύς αέτσ;pontic
Ατώρα εγροίκ σα τ εσά τα χαρέματα και nτα;pontic
κέφö σ;pontic
Άρ δόξα σοι ο θεός εγροίκ σες;pontic
Τεμôκ θέλτς να πάμε σο ψαλάφεμαν;pontic
Ναι Σόφια σο ψαλάφεμαν;pontic
Και πώς θα πάμε;pontic
Με τα ποδάρö;pontic
Γιώρικα μ ευτάς τον αγναμάζ;pontic
Για την χώραν πώς πάτε;pontic
Εσύ την χώραν ντο τερείς;pontic
Κιάμ τίναν θα τερώ Εκείν ντο nπερισσόν;pontic
έχ νε ας εμέν;pontic
Εκείνο ντο κ εξέρτς;pontic
Σόφια γιατί καλατûεύς αέτσ γιατί;pontic
nκρυαίντς τη καρδία μ Ντο κακόν εποίκα;pontic
nσε για πέει με κι ας;pontic
ακούω;pontic
Ντο να λέγω σε ας έρται ο Κώστης και;pontic
nπέει ατο σ εκείνον Αν ευρήκια το;pontic
nεκείνος εύλογον ατότε;pontic
πάμε;pontic
Πώς να λέγ ατο σ εκείνον τûακινεύκουμαι;pontic
Για τ ατό ξαι μη στενακωρεύσκεσαι nλέγ;pontic
ατο εγώ;pontic
Ατό τη δουλείαν ποίστε κ εγώ θα έχω nσας;pontic
Σόφια ας σο κιφάλ μ κι απάν και nκαμίαν;pontic
κι θ;pontic
ανασπάλλω το καλόν ντο θα ευτάτε nμε;pontic
Ντο να λέγω σε Γιώρικα ποίσον υπομονήν;pontic
nώσνα έρται ο Κώστης Ας τερούμ ντο θα;pontic
nλέει;pontic
εκείνος Η υπομονή είπες κ εσύ καλόν;pontic
nπράμαν έν;pontic
Σόφια έν πολλά ασσό επήεν αραεύ με ο;pontic
Έπρεπεν όσον τώρα να έρχουσον Άτùαπαν;pontic
nγιατί έργησεν;pontic
Πώς κ έξερα τ να έρχουμνε κι άλλο nενωρίς;pontic
Ατό έπρεπεν να ενούνιζες ατο κι άλλο;pontic
nεμπροστά;pontic
Ποίος εξέρ ατώρα που κ εύρε με ντο nθα;pontic
λέει Ποίος θα ακούει ατον ξαν Σόφια nας;pontic
πάω ατώρα;pontic
αραεύ ατον εγώ;pontic
Ατό τη δουλείαν θα ευτάμε εμείς θα πάει;pontic
nαραεύ ο ένας τον άλλον Κάθκα ατουκά;pontic
nκαλά κάθεσαι;pontic
όπου έν θα έρται;pontic
Πώς να κάθουμαι Ερχίνεσα και τρώγω από;pontic
nπάν ι μ Θέλω να πάω αραεύ ατον Όσον nτο;pontic
αργίζ;pontic
ατόσον κι άλλο πολλά στεναχωρεύκουμαι;pontic
nΠρέπ να πάω;pontic
Είπα σε κάθκα όπου έν θα έρται;pontic
Γιατί έργησεν ατόσον πολλά;pontic
Φαίνεται επήεν αραεύ σε και σο ποτάμ;pontic
nαφού κ έσ νε σ αüερών τ nΑλέξη;pontic
Αέτσ φαίνεται Εγώ εθαρώ Σόφια πρέπ nνα;pontic
πάω αραεύ ατον;pontic
Ας λέμε πως εσύ πας ας αβούτο τη στράταν;pontic
nκ εκείνος έρται ας άλλο Ντο ίνεται;pontic
nατότε;pontic
Καλά λες Σόφια αέτσ αν έν ας nκάθουμαι κι;pontic
αναμέν ατον;pontic
Αέτσ πρέπ να ευτάς;pontic
Γι ας τραγωδώ ώσνα έρται τ εμόν την;pontic
nτραγωδίαν;pontic
Πάντα να έτον Κέρεκή πάντα να έτον;pontic
nΣάββα;pontic
κ επέναμε ση πεθεράς κ ετρώγαμ την;pontic
nκοσσάραν;pontic
Σόφια πώς εφάνθε σε η τραγωδία nμ;pontic
Πολλά έμορφον ερέχτα το;pontic
Αέτσ αν έν ας τραγωδώ ατο μίαν κι nάλλο;pontic
κ επέναμε ση πεθεράς κι ετρώγαμ την;pontic
Μπαίνοντας νευριασμένος Αφορισμένε;pontic
nμαλεζά εσύ αδαπέσ είσαι κ εγώ nεκατασκοτώθα;pontic
κι αραεύω;pontic
σε Ο κόσμος για τ εσέν έν Και ντο nκέφö;pontic
είν ατά τ εσô;pontic
Ντο γουρζουλάν έχω και να μη έχω nκέφö;pontic
Πάντα πα τραγωδείς άμον σποταλεμένος;pontic
nτιδέν κι νουνίεις;pontic
Και γιατί να νουνίζω Ντο ανάγκην έχω;pontic
nΕσείς να ήστουν καλά ο θεόν να δι σας;pontic
nχρόνö;pontic
Τέρ εσύ ντο λέει ο θεοπάλαλον κ nευτάει;pontic
σε και σπάντς;pontic
Ντο έπαθες Κώστη Ντο τûαΐεις;pontic
Σ εσόν τ αλών νö βρέü και νö nüιονίζ;pontic
Κώστη πώς κι οκνείς εμείς ατώρα για nτ;pontic
αλώνö και τα üόνö θα λέμε Άλλα nέχουμ να;pontic
λέμε;pontic
Καθώς στρώνει το τραπέζει για να φάνε;pontic
nΚιάμ κι λες εσύ Κώστη ο Γιωρίκας ο;pontic
nΓιωρίκας;pontic
τεντώνει τα αυτία του θέλ να παίρ nμας;pontic
και πάει λέγ ατο Γιωρίκα;pontic
Πέει ατο Σόφια πέει ατο ξαι μη nστέκ ς;pontic
Θέλ να παίρ μας και πάει σο ψαλάφεμαν;pontic
Καθώς έπινε νερό κόντεψε να πνιγεί;pontic
nΝέκουτûη ντο είπες γιάμ κ εκ σα nκαλά;pontic
Α α α α α εχπαράες κ εσύ;pontic
Όλö εποίκες αφορισμένε κακάτûο το;pontic
nψαλάφεμαν επέμ νεν λειφτόν;pontic
Γιατί Κώστη εγώ κι θα γυναικίζω Άμον;pontic
nγάρτ βούδ θ απομένω;pontic
Εσύ αφορισμένε λαπαζάνε ζατί έσ νε nέναν;pontic
Παραûκευήν λειφτός ατώρα τûιπ nεδέβασες;pontic
ατο κα;pontic
Και πού είδες τα λειφτέûö εξάδελφε;pontic
Ειρωνικά Ατώρα εγροίκ σα ντο ίνεται;pontic
nΕσύ για τ ατό ετραγώδ νες πάντα να nέτον;pontic
Κερεκή πάντα;pontic
να έτον Σάββα;pontic
Εσύ πα άμον τη Σοφίαν πολλά αργώς;pontic
nεγροίκ σες ατο άμα το άλλο κ είπες nΚ;pontic
επαίναμε ση;pontic
πεθεράς κ ετρώγαμ την κοσσάραν;pontic
Αφορισμένε αλεπίτσο η κοσσάρα nεπέμ νεν;pontic
λειφτέσσα Εσύ φαίνεται nπαίεις και;pontic
λάûκεσαι με την;pontic
παντρείαν;pontic
Ατό πα ποίος είπεν ατο;pontic
Εγώ είπα το ποίος θέλτς να λέει nατο;pontic
Γιατί εξάδελφε;pontic
Ερωτάς και γιατί;pontic
Πώς να μη ερωτώ;pontic
Για πέει με εσύ πού κιβöνεύκεσαι και;pontic
nθέλτς να γυναικίεις Ποίος θα παίρτσε;pontic
nκαι ντο να ευτάει σε;pontic
Να δουλεύ και να φάει σε;pontic
Κι ας δουλεύ γιατί να μη δουλεύ nαΐκον;pontic
παλληκάρ θα παίρ;pontic
Τέρ εσύ τον αγναμάζ ντο λέει Στους;pontic
nθεατές Ατός την κιαντήν ατ κ nεπορεί να;pontic
τερεί και;pontic
