article;lang
την τσέπη και την ενέργεια και να τους;cypr
καλουπιάζουν τα όνειρα και τη ζωή;cypr
 Μπράβο παιδιά;cypr
 Χαίρομαι που σας αρέσουν τα παλιά;cypr
κλασσικά κτίρια οι στενοί ήσυχοι;cypr
πλακόστρωτοι δρόμοι Και αφού τα;cypr
αγαπάτε τότε προσπαθήστε να μην τα;cypr
χρησιμοποιείτε σαν μαυροπίνακες;cypr
 Εννα τον ξεράνουν στο τέλος όσοι;cypr
θωρούν κατά τζει με απέχθεια;cypr
 Υπόψη ότι εψές εκόπηκε ο μισός εκόπηκε;cypr
τζαι ηταν να ππεσει πας τες κκελαες;cypr
κάποιων Πόσο να μιλούμε για τζίνον έν;cypr
άντεξε;cypr
 Χαίρε Ίων;cypr
 Ελπίζω να μεν εμάλλωσεν ο τράγος με το;cypr
αγρινόν ποιός θα φάει το φύλλο;cypr
Προσέξετε πάντως να το φάτε γίνεται να;cypr
το καπνίσετε όι Θα έρτει ο ΑΣΤ τζιαι να;cypr
σας δέρει διότι απαγορεύεται;cypr
 Είντα δεντρόν ένει;cypr
 Asera Σιαίρουμε που αναθεωρείς την;cypr
κυπριακή σου ταυτότητα ότι τζιαι να;cypr
κάμεις Κυπραίος εν νάσαι το αν θα είσαι;cypr
 καλός ή κακός Κυπραίος εν που σένα που;cypr
εξαρτάται Στο κάτω κάτω γιατί να;cypr
ταυτιστώ τεις με τον κάθε άτε να μεν;cypr
ηξητιμάσω που θέλει να κάμει τον;cypr
καμπόσο επειδή έχει μιαν εξουσία;cypr
 Τζιαι εγιώ με τα παιθκιά είμαι αλλά;cypr
όι γιατί είναι από καλές οικογένειες;cypr
 όπως έγραψε η κυρία Χριστιάνα Βουνιώτη;cypr
στον Πολίτη και κάπως με ξένισε όταν το;cypr
διάβασα τότε που το δημοσίευσε Δηλαδή;cypr
αν αυτά τα παιδιά ήταν από μη ευκατάστατες;cypr
οικογένειες θα ήταν άλλη η αντιμετώπιση;cypr
του κόσμου Μεν μου πεις ότι ήταν ότι;cypr
καλύτερο και αντικειμενικό ήταν αυτό;cypr
που ειπώθηκε περί καλών ευκατάστατων;cypr
και υψηλού επιπέδου οικογενειών κάπου;cypr
δεν κολλάει η όλη φάση αν θέλουμε να;cypr
είμαστε αντικειμενικοί;cypr
 Nεσπά;cypr
 Ψιχαλιά σύμφωνος μαζί σου ότι αν το;cypr
καταλάβεις όπως το κατάλαβες δεν κολλά;cypr
Δεν κολλά ιδίως με την συγκεκριμένη;cypr
δημοσιογράφο τζιαι τες απόψεις της Εγώ;cypr
δεν εστάθηκα τζιειαμαί ούτε τζιαι στα;cypr
άλλα που της έκαμεν κριτικήν ο OSR55 η;cypr
οποία αν δεν ήταν επιθετική απαξιωτική;cypr
τζιαι σχεδόν υβριστική θα με έβρισκεν;cypr
πιο σύφωνον επι της ουσίας Επήρα το ότι;cypr
ήταν κάτι σαν ορθογραφικά λάθη Τζιαι το;cypr
συγκεκριμένον εκατάλαβα το ότι ακόμα;cypr
τζιαι θα παιθκιά των μικροαστών;cypr
καταδέρνει τα το σύστημαν Δε την ουσία;cypr
τζιαι όχι τες λεπτομέρειες Την;cypr
περιγραφή της ζωής του χαρακτήρα τζιαι;cypr
των ιδεών αυτών των παιδιών;cypr
 Ελπίζω να μεν εμάλλωσεν ο;cypr
τράγος με το αγρινόν ποιός θα φάει το;cypr
φύλλο;cypr
 Αποφεύγω τα φύλλα πλέον προσέχω να;cypr
μεν μου ταΐσουν κουτόχορτο;cypr
 Ελεύθερα;cypr
 Εγραψα λάθος το επίθετο της δημοσιογράφου;cypr
Βονιάτη και όχι Βουνιώτη Το σκεπτικό;cypr
της το κατάλαβα αλλά έπρεπε να το;cypr
διατυπώσει διαφορετικά;cypr
 PSICHALIA;cypr
 Στην κριτική αυτή απάντησα ήδη;cypr
δεκάδες φορές από τότε που δημοσιεύθηκε;cypr
το ρεπορτάζ στον ΠΟΛΙΤΗ γραπτώς και;cypr
προφορικώς Πρέπει να πω πως χαίρομαι;cypr
αφάνταστα που επισημάνθηκε από τόσο;cypr
πολύ κόσμο Τέτοιες κριτικές ενδυναμώνουν;cypr
τις ελπίδες μου για τις δυνατότητες της;cypr
κυπριακής κοινωνίας για τον συλλογικό;cypr
μας νου τις ευαισθησίες μας την;cypr
 αυτόνομη από τις κοινωνικές νόρμες;cypr
κρίση μας Θα εξηγήσω τη θέση μου για;cypr
τελευταία φορά παραθέτοντας και το;cypr
 προβληματικό σημείο του ρεπορτάζ;cypr
 Η συνάντησή μου με τον Παναγιώτη;cypr
τη Νεφέλη την Κατερίνα τον Φάνο και την;cypr
Ελένη επεφύλασσε μιαν έκπληξη δεν;cypr
προέρχονται από προβληματικές;cypr
σπασμένες οικογένειες όπως;cypr
πολλοί ίσως να είχαμε υποπτευθεί;cypr
παρακολουθώντας την σχεδόν χαιρέκακη;cypr
 κάλυψη των τηλεοπτικών;cypr
καναλιών Αντίθετα οι γονείς των;cypr
παιδιών είναι ακαδημαϊκοί συγγραφείς;cypr
γιατροί με άριστη μόρφωση και σχετικά;cypr
ευκατάστατοι;cypr
 Λοιπόν καταρχήν το ρεπορτάζ δε;cypr
 μιλούσε εξ ονόματος;cypr
όλων των ατόμων που συχνάζουν στην;cypr
Πλατεία αλλά ήταν επικεντρωμένο στα 5;cypr
συγκεκριμένα παιδιά Συμβαίνει να είναι;cypr
από ευυπόληπτες ευκατάστατες;cypr
οικογένειες ΜΕ ΑΡΙΣΤΗ ΜΟΡΦΩΣΗ;cypr
 κι όχι απλά τεχνική κατάρτιση αλλά;cypr
κοινωνικά αμόρφωτοι Θεώρησα καλό να το;cypr
σημειώσω ΟΧΙ επειδή πιστεύω σε;cypr
τέτοιους ΑΧΑΠΑΡΟΥΣ ΗΛΙΘΙΟΥΣ ΚΟΜΦΟΡΜΙΣΜΟΥΣ;cypr
αντίθετα Ωστόσο το στοίχημα;cypr
του ρεπορτάζ κατ εμέ δεν ήταν να σε;cypr
κερδίσω εσένα ή τον Α ή τον Β που ούτως ή;cypr
άλλως ξέρετε πως έχουν τα πράγματα και;cypr
ποια είναι η αλήθεια για τους δήθεν;cypr
 αλήτες της Πλατείας;cypr
Το στοίχημα ήταν να κερδίσουμε;cypr
τους πιο φοβικούς εκείνους που δε;cypr
ξέρουν τη φάση της πλατείας ή της κάθε;cypr
 πλατείας που;cypr
πιστεύουν με ευλάβεια τα ΜΜΕ τους;cypr
παπάδες τους αστυνομικούς τις;cypr
κοινωνικές νόρμες τα προπαγανδιστικά;cypr
στερεότυπα;cypr
 ΝΑΙ είπα πως οι συγκεκριμένοι 5;cypr
προέρχονται από καλές κοινωνικά;cypr
αποδεκτές οικογένειες Ήταν μια στάση;cypr
άμυνας την οποίαν εκ των υστέρων;cypr
μετανιώνω Για να είμαι ειλικρινής;cypr
ωστόσο την κριτική αυτή που γίνεται;cypr
μετά τη δημοσίευση την είχα υπόψη μου;cypr
πριν καν γράψω την πρόταση εκείνη Αλλά;cypr
είναι κι ένα πράμα που ονομάζουμε;cypr
ΤΑΚΤΙΚΗ την οποία καλό είναι να τη;cypr
χρησιμοποιούμε όταν θέλουμε να;cypr
κερδίσουμε λίγο την τόσο φοβική κοινή;cypr
γνώμη που βιάζεται να ταμπελώσει ως;cypr
απόβρασμα όλους όσους είναι διαφορετικοί;cypr
 φυσιολογικά γενετικά ιδεολογικά;cypr
σεξουαλικά κλπ Το ρεπορτάζ αν μη τι;cypr
άλλο συνέβαλε στο να ξεκινήσει μια;cypr
δημόσια συζήτηση αναδεικνύοντας και;cypr
την άλλη πλευρά;cypr
 Σε ό τι αφορά το προβληματικό;cypr
σημείο αν με ρωτάς τώρα θα επέλεγα να;cypr
το έθετα διαφορετικά Όντως είναι;cypr
ένα δυο σημεία στο ρεπορτάζ στα οποία;cypr
δεν έδειξα μεγάλη ευαισθησία στα παιδιά;cypr
εκείνα που έχουν το κλασικό προφίλ του;cypr
 αλήτη Τους ζητώ;cypr
συγνώμη και ξεκαθαρίζω πως με αυτούς;cypr
ταυτίζομαι πολύ περισσότερο απ όσο με;cypr
άλλους πιο ευπρεπείς;cypr
Είμαι κι εγώ παιδί της;cypr
Πλατείας τόσο γεωγραφικά όσο;cypr
και ιδεολογικά συνειδησιακά Ζω;cypr
συχνάζω κι εργάζομαι εκεί πέραν από τη;cypr
δημοσιογραφία καθαρίζω τις τουαλέτες;cypr
και σερβίρω καφέδες στα ΚΑΛΑ ΚΑΘΟΥΜΕΝΑ;cypr
Έχω κι εγώ άσπαστους δεσμούς τόσο με;cypr
τους αλήτες όσο και με;cypr
τα πλείστα συνθήματα στους τοίχους;cypr
 ιδιαίτερα όταν αυτά γράφονται σε;cypr
αναρτημένα πανό ή ακαλαίσθητες;cypr
επιφάνειες κι όχι στην ωραιότατη;cypr
πουρόπετρα της ιστορικής μας Πόλης;cypr
ΑΛΛΑ ΟΧΙ ΔΕΝ ΤΑΥΤΊΖΟΜΑΙ ΜΕ ΤΟΥΣ ΟΛΙΓΟΥΣ;cypr
ΤΡΑΜΠΟΥΚΟΥΣ ΑΝΕΓΚΕΦΑΛΟΥΣ ΨΕΥΤΟΜΑΓΚΕΣ;cypr
ΤΗΣ ΠΛΑΤΕΊΑΣ ΠΟΥ ΕΣΠΑΣΑΝ ΤΟΝ ΜΑΝΩΛΗ;cypr
ΧΈΖΟΝΤΑΣ ΚΑΙ ΚΑΤΟΥΡΩΝΤΑΣ ΤΟΝ ΚΑΙ ΓΙΑ;cypr
ΜΕΝΑ ΟΥΔΕΜΙΑ ΔΙΑΦΟΡΑ ΔΕΝ ΕΧΕΙ Ο;cypr
ΤΡΑΜΠΟΥΚΟΣ ΜΠΑΧΑΛΟΣ ΜΕ ΤΟΝ ΣΑΔΙΣΤΗ;cypr
ΜΠΑΤΣΟ Επίσης ι ταυτίζομαι περισσότερο;cypr
με έναν πολιτισμένο αστό παρά με έναν;cypr
γάρο προλετάριο αν και προσωπικά;cypr
προέρχομαι από οικογένεια ανειδίκευτων;cypr
εργατών και εργάζομαι από τα 14;cypr
 PSICHALIA από τις παρατηρήσεις και την;cypr
κριτική σου την οποία συμμερίζομαι;cypr
πιστεύω πως μιλάμε την ίδια γλώσσα;cypr
ή τουλάχιστον παρόμοια Επομένως δε;cypr
θεωρώ σκόπιμο να συνεχίσω να απολογούμαι;cypr
για τη στάση άμυνας την οποία κακώς;cypr
τήρησα στο ρεπορτάζ Στην προσπάθεια;cypr
μου να αντικρούσω το mainstream επιχείρημα;cypr
πως είναι αλήτες έπεσα;cypr
στην παγίδα κι έπαιξα το παιγνίδι τους;cypr
Γι αυτό απολογούμαι;cypr
 Και κάτι ακόμα;cypr
 Για όσους με κατηγορούν πως με το;cypr
ρεπορτάζ έκανα ιδεολογικό ξεπούλημα;cypr
 γιατί ειπώθηκε και αυτό τους παραπέμπω;cypr
στη θεματολογία και το περιεχόμενο των;cypr
άρθρων μου ανθρώπινα δικαιώματα;cypr
μετανάστες ρατσισμός παλαιστινιακό;cypr
trafficking ανίερος πόλεμος κατά της;cypr
τρομοκρατίας παγκόσμια πείνα φτώχεια;cypr
κριτική στο νεοφιλελεύθερο μοντέλο κλπ;cypr
κλπ και στις συνεντεύξεις μου με;cypr
ανθρώπους που τίθενται στο στόχαστρο;cypr
ακριβώς λόγω της επαναστατικότητας και;cypr
της καυστικής κριτικής τους στην;cypr
παγκόσμια mainstream λογική ενδεικτικά;cypr
αναφέρω Noam Chomsky Bill Ayers πρώην κρατούμενοι;cypr
στο Γκουαντάναμο KΙΣΑ κλπ Απ εκεί και;cypr
πέρα αρνούμαι να δώσω πιστοποιητικά;cypr
ήθους σε άπιστους Θωμάδες;cypr
 Koumaras Anthropophorum Ευχαριστώ θερμά για τη;cypr
στήριξη και τη σωστή κατανόηση των;cypr
προθέσεων του ρεπορτάζ πέραν από τα;cypr
όποια λάθη για τα οποία διόλου δε;cypr
ντρέπομαι να απολογηθώ;cypr
 Τζιαι εγώ είμουν τζιαμέ;cypr
 Όι πολλα αλλα έκατσα αρκετά για να;cypr
συζητήσω με τους μιτσίους τζιαι να;cypr
ακούσω τις απόψεις τους;cypr
 Είδα σε τζιαι σένα με την κορού σου;cypr
στους ώμους αλλα αντράπηκα να σου;cypr
μιλήσω;cypr
 Ούλλα ωραία Οι μιτσίοι επιαν την;cypr
σκυτάλη τζιαι συνεχίζουν καλύτερα που;cypr
εμάς;cypr
 Ρε Joshoua μα είσαι μαννός;cypr
 Χριστιάνα για σου τζιαι συνέχισε;cypr
 Περνώντας σήμερα το πρωϊ είδα το;cypr
δένδρο να έχει δύο μεγάλα κλωνιά;cypr
σπασμενα και να κρέμουνται;cypr
 Προχώρησα και είδα τον κύριο με το;cypr
καροτσάκι του την σκούπα και το φτυάρι;cypr
που καθαρίζει κάθε πρωί την πλατεία της;cypr
 Καλημεριστήκαμε όπως κάθε μέρα και;cypr
τον ρώτησα για το δένδρο Μου είπε ότι;cypr
ακόμη δεν είχε περάσει από εκεί και ούτε;cypr
ήξερε ποιός το έκοψε Πάντως ήταν;cypr
σίγουρος ότι δεν κόπηκε ούτε από;cypr
ανεμοστρόβιλο ούτε από φυσική φθορά;cypr
Ανθρώπινα χέρια τράβηξαν κάτω τα χοντρά;cypr
κλαδιά και τα έκοψαν Τον ρώτησα τι;cypr
δενδρο είναι για να πάρω την απάντηση;cypr
Τριμιθιά;cypr
 Το βράδυ που σχόλασα τα κομμένα χέρια;cypr
του δένδρου είχαν φύγει Απομένει μισό;cypr
πληγωμένο απορημένο γιατί να το;cypr
ακρωτηριάσουν;cypr
 Απόψε άνοιξα τη σύγχρονη γεωργραφία;cypr
της Κύπρου τόμος 1 Το φυσικό τοπίο της;cypr
Κύπρου και βρήκα τα εξής;cypr
 1 Τριμιθιά τρέμιθος Pistacia attlantintica;cypr
Απαντά σε αριθμό δέντρων στην Πάφο κυρίως;cypr
στην πόλη Πάφου και σε μερικά γειτονικά;cypr
χωριά;cypr
 2 Τριμιθιά τρέμιθος Pistacia terebinthus;cypr
Βρίσκεται σε υψόμετρο μεταξύ 300 κ αι 1200;cypr
μ;cypr
 3 Σχινιά Pistacia lentiscus πολύ κοινό σε;cypr
χαμηλά υψόμετρα;cypr
 Δεν είναι στον κατάλογο με τα ενδημικά;cypr
φυτά της Κύπρου;cypr
 Κουμάρα θα μάθω σίγουρα το ακριβές;cypr
όνομα του δένδρου και θα σου πω;cypr
 Έγραψα λάθος προηγουμένως το σωστό;cypr
 Pistacia attlantica;cypr
 Τζιαι φορώ τζιαι τα γυαλιά μου Κύριε;cypr
ελέησον πιον;cypr
 Μάλλον θα εν Pistacia Terebinthus trimithkia;cypr
Αμφιβάλλω να είναι Σχοινιά lentiscus εν;cypr
πιο θαμνώδες Την Ατλάντικα δεν την;cypr
 Πολλά ποιητικόν να τριμιθκιά ο;cypr
Μανώλης Έφκην μας τζιαι θυλικής;cypr
σκέψης;cypr
 Για τον κλώνον μεν μαραζώννεις Τα;cypr
κλωνιά των αθρώπων δύσκολα πολιούν τα;cypr
δεντρά πολιούν τζιαι δρατζιάζουν;cypr
 Καμιάν εκατοστί βήματα πιο τζεί που το;cypr
Μανώλη έσιει αλλόνα δεντρόν που το;cypr
λαλούν ΖΕΠ Φανερωμένης;cypr
 Δέτε δαμέ τους καρπούς του;cypr
 Αν;cypr
είσαστιν αρχιτέχτονες προσέξετε την;cypr
γραμμήν του θόλου σαν τα μμάθκια σας Αν;cypr
μεν είσαστιν αρχιτέχτονες προσέξετε;cypr
τους αρχιτέχτονες;cypr
 Το Σάββατον 17 θα είμαι Κύπρον τζιαι;cypr
προσκαλώ σας όσους θέλετε να γνωριστούμε;cypr
που κοντά να έρτετε στην Φανερωμένη στο;cypr
φεστιβάλ Θα με αναγνωρίσετε εύκολα αν;cypr
γυρέψετε έναν κκέλην με κότσινο;cypr
μεταξωτόν πουκάμισο μαύρον παντελόνι;cypr
τζιαι ψιλόκουρεμένον γένι Θα είμαι;cypr
τζιειαμαί με την κόρη μου 6 χρονών Θα;cypr
την αναγνωρίσετε επίσεις διότι εν πολλά;cypr
όμορφη Αν δεν σηκώννεται τους ανάρχες;cypr
τους ππάνκηες τζιαι τες ππάνκισσες;cypr
τους μάλλουρους τες κόρες τες ψαγμένες;cypr
με τα ινδικά ενδύματα τζιαι τα χαϊμαλιά;cypr
τότε να βρεθούμε την Κυριακή 18 το;cypr
απόγευμα η ώρα 2 στο Κάβο Γκρέκο για;cypr
παρπάτημα Για το δεύτερον πέψετε email;cypr
flou123_άρομβας_bluewin ch διότι θέλει;cypr
οργάνωσην;cypr
 Πληροφορίες για το πρώτον θα έβρετε;cypr
στου Γρηγόρη το κουτούκι;cypr
 Ούλλοι οι πολιτισμοί τζιαι οι;cypr
Μουσουλμάνοι τζιαι οι χριστιανοί ο;cypr
καθένας με το σύμβολο του;cypr
 Καλή επιτυχία στο σκοπό του φεστιβάλ Εζήλεψα;cypr
λλίο που εν θα είμαι καλά καλά εζήλεψα;cypr
πολλά κλαψ κλαψ;cypr
 gamwto egw den erxomai cypro prin na kontepsei o Niobrhs alla kai;cypr
tote blepoume;cypr
 tha ta pume ekei koumaras;cypr
 Κουμάρα να σε ρωτήσω κάτι Επειδή είμαι;cypr
υπερ του γερμανικού αν θέλεις εγγλέζικου;cypr
τρόπου νοοτροπίας θέλω να σε ρωτήσω το;cypr
εξής Απ ότι εκαταλαβα που τες ειδήσεις;cypr
καποιοι νεαροι οργάνωσαν υπαίθριο;cypr
πάρτι;cypr
 Σε τέθκιες περιπτώσεις ξέρουμε ότι;cypr
μπορεί να ξεφύγει η κατάσταση άνευ;cypr
ορίων Οχλαγωγία ηχορύπανση και ενιοτε;cypr
και καταστροφες δημ περιουσιας Προσωπικά;cypr
πθστεύω ότι έτσι ακριβώς εγίνηκε επειδή;cypr
ξέρω την νοοτροπία των νεαρών σ ετσι;cypr
περιπτώσεις Έστω ότι το παίρνουμε τούτο;cypr
ως δεδομένο;cypr
 Επειδη έχω δει πως εν τα πράματα στην;cypr
Ελλάδα και επειδή εν θέλω να φτάσω σε;cypr
τζίντο σημείο κυρίως που φόο ρωτώ;cypr
σε;cypr
 Η αστυνομία που ακριβώς έπραξε;cypr
λάθος Στο ότι εξάσκησε την δύναμη της;cypr
επάνω σε νεαρούς οι οποίοι εξίβριζαν;cypr
τους αστυνομικούς και οι οποίοι εν;cypr
εσέβουνταν το ότι επρεπε να μην;cypr
ηχορυπαίνουν σε τέτοιες ώρες Το ότι;cypr
εξέφυγεν η κατάσταση μαρτυρεί το και το;cypr
ότι εγίνετουν και χρήση ναρκωτικών Το;cypr
ότι οι ανάγωγοι εσπάσαν απο τους;cypr
λιθοβολισμούς και 2 αυτοκίνητα;cypr
 Σε ρωτω το απλο Σε τουντη πάστα νεαρών;cypr
 πως ακριβώς έπρεπε να ενεργήσει η;cypr
αστυνομία;cypr
 στην ελβετία φαντάζουμε οτι η;cypr
αστυνομια εν να σιει τον γερμανικό;cypr
τρόπο επιβολής τάξης;cypr
 Αλοίμονο αν καταστήσουμε την;cypr
αστυνομία ανήμπορη άβουλη στην;cypr
επιβολή τάξης;cypr
 Θα επεκταθώ δε μόλις δω την απαντηση;cypr
 Αγγούρκα;cypr
 Είχε υπέρμετρους σε σχέση με το;cypr
μέγεθος της εκδήλωσης αστυνομικούς με;cypr
πολιτικά Αφορμή βοήθα;cypr
 Ηθέλαν να αρπάξουν χρήστες Ας;cypr
επηένναν έξω που τις καφετέριες στα;cypr
ιδωτικά πανεπιστήμια Τουμάνι Αλλά;cypr
εκεί θα ενοχλήσουν και κάποια οικονομικά;cypr
συμφέροντα αντί να τα εξυπηρετήσουν;cypr
όπως έκαμαν στη Φανερωμένη;cypr
 Κανεί ολάν;cypr
 oi aggourka aggourka pikles agrino diladi symfwnw kai;cypr
epafxanw;cypr
 1 εν η παρουσία μυστικών αστυνομικών;cypr
τζιαι η βία που εξασκήσαν πάνω σε 2;cypr
άγνωστους στο πάρτυ που δήθεν εκάμναν;cypr
κάνναβη τελικά δεν εκατηγορηθήκαν άρα;cypr
οι μπάτσοι δεν ήβραν προφανώς τίποτε;cypr
πάνω τους που επροκάλεσεν την αντίδραση;cypr
των νεαρών;cypr
 2 η αστυνομία επενέβη πριν τες 12 00 που;cypr
εν η ώρα που οι μιτσιοί κλείουν τη;cypr
μουσική τζιαι διαλύουν το πάρτυ;cypr
 3 όταν έφτασα στην περιοχή εν μέσω;cypr
της σύγκρουσης είδα τους ΜΜΑΔίτες με;cypr
φανελούες που δεν εγράφαν τα νούμερα;cypr
τους να προκαλούν την νεολαία εφωνάζαν;cypr
τους είσαστε πούττοι;cypr
τζιαι εννά σας κάμουμε;cypr
άχρηστους τούτη η συμπεριφορά;cypr
της αστυνομίας εν απαράδεχτη τζιαι εν;cypr
δαμέ η ουσία;cypr
 4 η αστυνομία προσπαθεί να δημιουργήσει;cypr
κλίμα τρομοκρατίας μέσα στην παλιά;cypr
πόλη 2 μέρες μετά ήμουν σε συνέλευση;cypr
στην περιοχή μέσα σε 30 λεπτά επεράσαν 7;cypr
περιπολικά;cypr
 5 αντί να επικεντρωθούν στο έγκλημα;cypr
στο εμπόριο γυναικών στο εμπόριο;cypr
ναρκωτικών στην διαφθορά στα οποία;cypr
υπάρχουν τζιαι μπάτσοι μπλεγμένοι;cypr
βουρούν να παίξουν τους μάγκες στα;cypr
16χρονα τζιαι το σιηρόττερο βρέθουνται;cypr
τζιαι τύποι που τους υποστηρίζουν;cypr
τζιόλας;cypr
 Μα Γρηγόρη η διαφθορά εν πλέον SYSTEMIC;cypr
τζε έσσιει που τζαιρόν διαβρώσει ακόμα;cypr
τζε το ίδιο το Δημαρχείο χωρίς κανένας;cypr
Δήμαρχος ή Δημοτικός σύμβουλος να κάμει;cypr
οτιδήποτε ή τουλάχιστον να αρθρώσει;cypr
ξεκάθαρο λόγο κάθαρσης;cypr
 grigori esi pos ta kseris touta;cypr
 Matilta an men itan i mavrou tora astinomia en tha thorousame stin;cypr
pali lefkosia;cypr
 Agrine mia zoi kseris;cypr
 Ανδρεά παρόλον που ενοχλεί κάποιους;cypr
Κυπραιους να τους λαλούν οι ξένοι;cypr
την γνώμην τους ή το πως λύεται κάποιον;cypr
πρόβλημαν στο εξωτερικό να σου πω αφού;cypr
ρωτάς;cypr
 Όχι πως στην Ελβετία κουλιάζουν άλλου;cypr
είδους χαραχτήρες μες την αστυνομίαν;cypr
τζιαι τον στρατόν Είναι ράμπο που τους;cypr
αρέσκει το πιστολίδιν η βία τζαι που;cypr
θέλουν να επιβάλουν με το εσιέκκιπι το;cypr
καλόν όπως το νομίζουν Έχει τζιαι;cypr
παρατράγουδα όπως στην Κύπρο με;cypr
ανεγκέφαλους που φκάλλουν τα ποθυμένα;cypr
τους πάνω σε έναν δεμμένον με τες;cypr
χειροπαίδες Ιδίως ξένους Έσιει;cypr
ΛΛίόττερον όμως τζιαι λλιόττερον;cypr
προκλητικά Ιδίως δεν είναι ο κανόνας;cypr
 Είναι που την μιαν οι μπάτσοι με ότι;cypr
χαραχτήραν τζιαι αν έχουν στο κάτω;cypr
κάτω το κράτος πιάννει τζιείνους που;cypr
θέλουν να γινούν μπάτσοι είναι όμως;cypr
που την άλλην οι μαστόροι τους η;cypr
εξουδιοδότηση που έχουν για το ΠΩΣ θα;cypr
εξασκήσουν την καταστολή η επαγγελαματική;cypr
τους κατάρτηση για το ΠΩΣ ΘΑ ΤΑ;cypr
ΚΑΤΑΦΕΡΟΥΝ στο τέλος να εξασκήσουν την;cypr
δουλειάν τους Δεν είναι έφκολον πράμαν;cypr
να πα να συλλάβεις έναν που παρανομεί ή;cypr
που εγγληματεί Είναι τζιαι οι πλάτες;cypr
που θα τους κάμουν οι πολιτικοί τζιαι οι;cypr
προϊσταμένοι άμαν δεν κάμνουν καλά την;cypr
δουλειάν τους;cypr
 Οι πολιτικοί δακάτω δεν κάμνουν;cypr
πλάτες στην αυθαιρεσίαν ιδίως οι;cypr
αριστεροί οι πράσινοι τζιαι οι;cypr
σοσιαλιστές τζιαι ιδίως η αστυνομία;cypr
που μόνη της αποφέυγει να προκαλεί;cypr
Κάμνει την δουλειάν της με διακριτικότητα;cypr
διότι στόχος της δεν είναι να δείξει ότι;cypr
τηρεί την τάξην αλλά να τηρεί στην;cypr
πραγματικότηταν την τάξην Στην;cypr
Ελβετίαν ποττέ δε εγίνην υπόθεση Κίτα;cypr
τζιαι η αστυνομία ποττέ δεν εβρέθην;cypr
τόσον βουττημένη η ίδια μες το έγγλημα;cypr
τζιαι ανακατωμένη με τους εγγληματίες;cypr
 Αυτόν που γίνεται τώρα στην Κύπρον;cypr
είναι ότι η αστυνομία αντις να σαρίσει;cypr
τες τσιλλάρες μπορστά που την πόρταν;cypr
της πάει τζιαι προκαλεί για το θεαθήναι;cypr
για να δείξει του φιλήσυχου νοικοκυραίου;cypr
ότι τηρεί τάχα την τάξην;cypr
 Η Μαύρου είπεν τους να προσέχουν την;cypr
τάξην τζιαι την παλιάν την πόλην δεν;cypr
τους είπεν να πα να παίζουν τους νταήδες;cypr
τζιαι να προκαλούν ούτε να στήννουν;cypr
μπλόκκα λες τζαι η πόλη εν το γκέτο της;cypr
Βαρσοβίας;cypr
 Η μεγάλη διαφορά αγαπητέ Ανδρέα δεν;cypr
είναι αν πρέπει να επιτηρά η αστυνομία;cypr
την τάξην Η μεγάλη διαφορά είναι το πως;cypr
την επιτηρά Ποιός νόμος επιτρέπει σε;cypr
έναν αστυνομικόν να πα να λαλεί ενός;cypr
νέου δεκαεξάρη πούττε;cypr
 Η αστυνομία δεν κάμνει τους νόμους;cypr
τηρεί τους τζιαι επιβάλλει την τήρησην;cypr
τους Η αστυνομία της Κύπρου ούτε τους;cypr
νόμους τηρεί η ίδια ούτε τζιαι;cypr
επιβάλλει την τήρησην τους τζιεί που;cypr
πρέπει τζιαι χρειάζεται;cypr
 Τζαι κάτι άλλον είτε αρέσκει της;cypr
αστυνομίας το πως ζω εγώ το τί γουστάρω;cypr
το πως ντύνουμαι το τί πολιτικές ιδέες;cypr
έχω το πως γαμώ το πως παρπατώ μες τον;cypr
δρόμο το τι θεόν πιστεύκω τζιαι το;cypr
πόσον μακρυά ή κοντά εν τα μαλιά ή τα;cypr
γένια μου ΔΕΝ ΕΧΕΙ ΛΟΓΟ στην ζωή μου;cypr
Δεν θα μου πει τι είναι καλόν τζιαι τί;cypr
είναι κακόν Αν δεν τηρώ τον νόμον;cypr
οφείλει να μου πεί ευγενικά αφού μου;cypr
πει καλημέρα πρώτα ποιόν νόμον δεν;cypr
τηρώ τζιαι αν δεί ότι δεν συμμορφόννουμαι;cypr
τότε κάμνοντας χρήσην της αρχής της;cypr
αναλογίας θα προσπαθήσει να μου;cypr
επιβάλει την τήρησην του νόμου που εγώ;cypr
δεν τηρώ;cypr
 Άμαν σε εξοθουσιοδοτά η πολιτεία να;cypr
εξασκήσεις βία θέλει πολλήν ωριμότηταν;cypr
τζιαι πολλήν επαγγελματικήν κατάρτησην;cypr
πως εν να την ασκήσεις χωρίς να;cypr
ενοχλήσεις τον κόσμον που δεν έχει να;cypr
κάμει τίποτε με τες ιστορίες σου Άμα η;cypr
πολειτία σου διά εξουσία θέλει νώμους;cypr
γερούς για να την σηκώσουν τζιαι οι;cypr
νόμοι της αστυνομίας μας είναι στενοί;cypr
τζι άδύναμοι Έτο πρόβλημαν που;cypr
ένι;cypr
 Θέλω να διαδηλώσω για να τους πω;cypr
τουλάχιστον να μεν νεκατώννουνται μες;cypr
την ζωήν του κόσμου τζιαμαί που δεν τους;cypr
εξουσιοδοτά ο νόμος Θέλω να πως τζιαι;cypr
της κυβέρνησης να προσέχει καλλύττερα;cypr
πως θα κτίσει έναν αίσθημαν ασφάλειας;cypr
