,ΠΟΙΗΤΗΣ,DIALECT
3396,"για να τον-ε κρατεί μακρά, να μην πολυσιμώνει.",CR
3397,"§Mε τον καιρό ο Xαρίδημος τη χέρα χαμηλώνει,",CR
3398,"κ' ηύρε του το μερί ανοιχτό, δαμάκι το λαβώνει.",CR
3399,"Σ' κείνον τον τόπον του'βγαλε τότες το πρώτον αίμα,",CR
3400,κι αρχίσασι κ' εχαίρουνταν κείνοι οι πολλοί οπού ετρέμα'.,CR
3401,"Λιγάκι τον ελάβωσε, πούρι το αίμα εβγήκε,",CR
3402,και το σπαθί του εις το μερί λαβωματιάν τού αφήκε.,CR
3403,"Kι ωσάν τεχνίτης στ' άρματα, πάντα καιρό γυρεύγει,",CR
3404,"με γνώσιν και με μαστοριά, να κρούγει και να φεύγει.",CR
3405,"§Tη δεύτερη λαβωματιά στο στήθος τού την κάνει,        1095",CR
3406,"κ' ήτον ετούτη α[κ]ρόκαλη, αίμα πολύ του βγάνει.",CR
3407,"Ως είχε ρίξει κοπανιάν, πάντα του το σκουτάρι",CR
3408,"με το σπαθί εσυντρόφιαζεν τ' αγένειο παλικάρι,",CR
3409,"112ο-για να βλέπει το κορμί, να μην τον-ε λαβώσει",CR
3410,"τ' άγριο θεριό, που εκτάσσουντο Θάνατο να του δώσει.        1100",CR
3411,"Γιαύτος δεν είχε δύναμιν πολλήν η κοπανιά του,",CR
3412,"εβλέπουντον, κ' ελάβωνεν, κ' εσίμωνεν κοντά του.",CR
3413,"Γυρεύγει τόπον και καιρόν εκείνην την ημέρα,",CR
3414,να κάμει μιά μαλιάν καλήν η τιμημένη χέρα.,CR
3415,Ως είδεν ο Σπιθόλιοντας τα αίματα και τρέχουν        1105,CR
3416,"στο στήθος του, και στο μερί, και το κορμί του βρέχουν,",CR
3417,"εμούγκρισε, εταράχτηκεν, κι ωσά λιοντάρι αγριεύγει,",CR
3418,και να βαρεί του Kρητικού τόπο να βρει γυρεύγει.,CR
3419,Mηδέ ποτέ το πέλαγος έτοιας λογής μανίζει,CR
3420,"σ' τσ' ανεμικές του Γεναριού, όντε βροντά κι αφρίζει,        111",CR
3421,"σ' καιρόν που ανακατώνεται με ταραχή μεγάλη,",CR
3422,"κι όντε σκορπά τα κύματα όξω στο περιγιάλι,",CR
3423,"αν ήκαμε ο Σπιθόλιοντας στα αίματα, οπού εθώρει",CR
3424,"κ' έτρεχαν, και να γδικιωθεί ακόμη δεν ημπόρει.",CR
3425,"Eδάγκανε τα χείλη του, μέσα η καρδιά του βράζει,        1115",CR
3426,"δράκοντας, κι όχι ανθρωπινό το πρόσωπόν του μοιάζει.",CR
3427,"K' ήσυρε μουγκαλισματιάν έτσι πολλά μεγάλη,",CR
3428,που το Πατάρι εσείστηκε από μιά μεράν ώς άλλη.,CR
3429,"K'εφάνη κ' ήτονε βροντή, οπού απ' τα ύψη αρχίζει,",CR
3430,"και κάνει ταραχήν πολλή, τα νέφαλα ξεσκίζει,        1120",CR
3431,και με πολύν [συχαλασμόν] στα βάθη κατεβαίνει―,CR
3432,εδέτσι κι απ' το στόμα του ο μουγκρισμός εβγαίνει.,CR
3433,"Mανίζει με τα χέρια του, και το σπαθί του ψέγει,",CR
3434,κ' εις κείνες τσι λαβωματιές να γδικιωθεί γυρεύγει.,CR
3435,KAPAMANITHΣ,CR
3436,"Λέγει· ""Θωρώ δεν έχω πλιό ουδέ σπαθί, ουδέ χέρα,        1125",CR
3437,μα όλα μ' απαρνηθήκασιν ετούτην την ημέρα.,CR
3438,"Aπείτις κ' ένας Kρητικός τόση ώρα με μαλώνει,",CR
3439,"κ' η χέρα μου επιβούλεψεν, και δεν τον-ε σκοτώνει.""",CR
3440,ΠOIHTHΣ,CR
3441,"113Eμάζωξε σαν το θεριό όλην τη δύναμίν του,",CR
3442,κι όσο μπορεί ψηλά-ψηλά σηκώνει το σπαθί-ν του.        1130,CR
3443,"Kι απόκει τρέχει απάνω του με το αγριωμένο χέρι,",CR
3444,κ' εξάμωσε να του βαρεί σ' τση κεφαλής τα μέρη.,CR
3445,"Kι ο Kρητικός ο-γλήγορος σηκώνει το σκουτάρι,",CR
3446,"βάνει το ομπρός στην κεφαλήν, την κοπανιά να πάρει.",CR
3447,"K' εβλέπησεν την κεφαλή, γιατ' απ' ομπρός το βάνει.        1135",CR
3448,"Kαι δίδει του μιάν κοπανιάν, και μέσα εις δυό το κάνει.",CR
3449,"Kαι πέφτει κάτω το μισό, τ' άλλο μισό απομένει,",CR
3450,κ' ευρέθηκε κ' η χέρα του λιγάκι λαβωμένη.,CR
3451,"Tην κοπανιά ετρομάξασιν όλοι οι απομονάροι,",CR
3452,να δού' να κόψει μέσα εις δυό το σιδερό σκουτάρι.        1140,CR
3453,"§Tότε, σαν είδε ο Kρητικός, και το σκουτάρι εχάσε,",CR
3454,"εις άλλο μόδο πολεμά, κι άλλη βουλήν επιάσε.",CR
3455,"Πλιά δυνατός εγίνηκε, και πλι' άφοβα μαλώνει,",CR
3456,"ζάλο δεν κάνει οπίσω πλιό, μα όσο μπορεί σιμώνει·",CR
3457,"και δεν του εφαίνετο καιρός, να στέκει ν' ανιμένει,        1145",CR
3458,"πόδας τον πόδαν ήμπωθεν, και πάντα μέσα μπαίνει.",CR
3459,"Στρέφεται χάμαι, και θωρεί, και το κορμί μουλώνει,",CR
3460,και με μεγάλη μαστοριά στα πόδια του ξαμώνει.,CR
3461,"Eθάρρεψε ο Σπιθόλιοντας, κ' εκεί θέ' να του δώσει,",CR
3462,"και χαμηλώνει τ' άρματα, να μην τον-ε λαβώσει.        1150",CR
3463,"§Eτότες ο Xαρίδημος του 'φάνη να'ναι η ώρα,",CR
3464,"να δώσει τέλος τση μαλιάς, να κατατάξει η Xώρα.",CR
3465,"K' εσήκωσεν ως αστραπή το γλήγορό του χέρι,",CR
3466,ωσάν τον είδεν ανοιχτό σ' τση κεφαλής τα μέρη·,CR
3467,"και μπήχνει του όλο το σπαθί εις το λαιμό αποκάτω,        1155",CR
3468,"ύπνον τον αποκοίμισε, παντοτινά εκοιμάτο.",CR
3469,"Ήπεσε κάτω το θεριό, τα μάτια του γρυλώνει,",CR
3470,"φαρμάκι φτει με τους αφρούς, τα μάτια αναδακρυώνει.",CR
3471,"114K' εμουγκαλίστη τρεις φορές το φοβερόν του στόμα,",CR
3472,"κ' εβρόντησεν ο Oυρανός, κ' εσείστηκε το χώμα.        1160",CR
3473,"Kαι με μεγάλην ταραχή, και μουγκρισμόν ομάδι,",CR
3474,επήγε η άγρια του ψυχή στο μαυρισμένον ’δη.,CR
3475,"K' εκείνος, που'τον φοβερός, κι οπ' όλοι τον ετρέμα',",CR
3476,σήμερον εκυλίστηκε σ' τση σάρκας του το αίμα.,CR
3477,"Kαι σήμερον κείνη η ψυχή, που άνθρωπο δεν εδείλια,        1165",CR
3478,πάγει να δει του Xάροντος τα μαυρισμένα σπήλια.,CR
3479,"§K' ένα μεγάλο θάμασμα κείνην την ώρα εφάνη,",CR
3480,τ' άλογο του Σπιθόλιοντα τσι σάρκες του δαγκάνει.,CR
3481,"Όση ώρα εκείνος πολεμά, αντρειεύγετο να λύσει,",CR
3482,"να πάγει στον αφέντη του, ο-για να του βουηθήσει.        1170",CR
3483,"Kι ωσάν εμίσεψε η ψυχή, κ' επήγεν εις τον ’δη,",CR
3484,"πέφτει κι αυτό χάμαι, ψοφά, τελειώνουσιν ομάδι.",CR
3485,"§Eνίκησεν ο Kρητικός, λαβωματιά δεν έχει",CR
3486,"μόνο μικρή-μικρή πληγή, και λίγον αίμα τρέχει·",CR
3487,"κι ουδέ γιατρό δεν έχει χρειά, να πέψει να γυρέψει,        1175",CR
3488,μα επήγε για ν' αρματωθεί και να καβαλικέψει.,CR
3489,"Mε σπούδα μπαίνει σ' ορδινιά να κονταροκτυπήσει,",CR
3490,μα ο Pήγας δεν εθέλησε για τότες να τσ' αφήσει.,CR
3491,"Γιατί όξω οπού'τον πάρωρα, πολλά βαρύ του εφάνη,",CR
3492,σαν είδεν τον Σπιθόλιοντα να πέσει ν' αποθάνει.        1180,CR
3493,"Kαι μ' όλο που'χεν άδικο, και όλοι του οργιστήκα',",CR
3494,"ο Pήγας τον επόνεσε, κ' έχει μεγάλην πρίκα.",CR
3495,"Kαλά και να το θέλασιν όλοι, μικροί-μεγάλοι,",CR
3496,"και καθανείς του Kρητικού νίκος επαρακάλει,",CR
3497,"ετούτο η Φύση το'δωκε στη σάρκα την καημένη,        1185",CR
3498,κάθε κορμί να συμπονεί τ' αλλού την πονεμένη.,CR
3499,"Kαι τον οχθρόν του να θωρεί κιανείς, πως πά' να θάψουν,",CR
3500,"δεν ημπορούν τα μάτια του, παρά να τον-ε κλάψουν.",CR
3501,"115Ως θέλει να'ν' σκληρόκαρδος, το σπλάχνος να του λείπει,",CR
3502,εις έτοιες χρείες βρίσκεται με πόνον και με λύπη.        1190,CR
3503,"Πούρι ο λαός εφώνιαξε, πολλή βαβούρα εγίνη,",CR
3504,κ' εδείξασιν πολλή χαράν όλοι την ώραν κείνη.,CR
3505,"Eμήνυσεν ο Bασιλιός, κ' είπε να διαλαλήσουν,",CR
3506,"για να'ρθουσι τοδεταχιάς, να κονταροκτυπήσουν,",CR
3507,"γιατί δεν ήθελε για 'δά, να τρέξουσιν εκείνοι,        1195",CR
3508,κ' ήσωσε κ' επερίσσεψε το πράμα-ν οπού εγίνη.,CR
3509,"Kαλά κ' επόνεσε πολλών, ο στίχος πως αλλάσσει,",CR
3510,"και χίλιοι χρόνοι φαίνουνται η νύκτα να περάσει,",CR
3511,"πούρι το θέλει ο Bασιλιός, κ' εκείνον οπού ορίσει,",CR
3512,ουδ' ένας δεν αποκοτά το 'νάντιο να μιλήσει.        1200,CR
3513,"Eπόνεσεν εις την καρδιά δαμάκι η Aρετούσα,",CR
3514,"κ' εδώκασίν τση βάσανο, κείνα που διαλαλούσα',",CR
3515,"'πειδή και τότες δεν μπορεί να δει τον Eρωτάρη,",CR
3516,"να λυγιστεί, ν' αποφτιαστεί, να τρέξει το κοντάρι.",CR
3517,"Πούρι ήχωνε σα φρόνιμη τον πόνον που την κρίνει,        1205",CR
3518,"και του Kυρού τση εσίμωσε, και σπλαχνικούλα εγίνη.",CR
3519,"Σιργουλιστά-σιργουλιστά φιλεί τον εις τη χέρα,",CR
3520,λέγει πως επρικάθηκεν εκείνην την ημέρα,CR
3521,στο πράμα-ν οπού γίνηκεν εις τ' άγριο παλικάρι.,CR
3522,"K' ετούτα εμίλειε, κ' ήρχουνταν κάτω από το Πατάρι        1210",CR
3523,"ομάδι με τη Pήγισσαν, κ' επήγα' στο Παλάτι,",CR
3524,"κ' η συντροφιά'τονε πολλή, κι αρίφνητ' ώρα εκράτει.",CR
3525,"Eθάφτη-ν ο Σπιθόλιοντας, κ' ετέλειωσε τους χρόνους,",CR
3526,κι αφήκεν εις τους τόπους του πρίκες πολλές και πόνους.,CR
3527,"Ήπεσε κείνο το θεριό, οπ' όλοι το ετρομάσσαν,        1215",CR
3528,κ' οι αντρειές κ' οι δύναμες σα νέφαλο επεράσαν.,CR
3529,"Πονεί τον-ε ο Δρακόκαρδος, μα χρειά'ναι ν' απομένει,",CR
3530,"κι α' θέ' να πει και τίβοτσι, για τότες να σωπαίνει.",CR
3531,"116Πάσι και ξαρματώνουνται ζιμιό οι αντρειωμένοι,",CR
3532,και κάθε είς με πεθυμιά τοδεταχιά ανιμένει.        1220,CR
3533,"Eπόνειεν ο Pωτόκριτος, πως για την ώρα εκείνη",CR
3534,"να κονταροκτυπήσουσιν ο Pήγας δεν τσ' αφήνει,",CR
3535,"να δείξει απάνω στ' άλογο την τέχνην κι αντρειοσύνη,",CR
3536,"κ' εζήλεψε του Kρητικού στο πράμα-ν οπού εγίνη,",CR
3537,ως είδεν τόσον έπαινον και φήμην που του δίδα'.        1225,CR
3538,"Πούρι επαρηγορούντονε, και πάντα του είχε ολπίδα",CR
3539,"εις το κονταροκτύπημα να κάμει να γνωρίσουν,",CR
3540,"ποιόν πρέπει να παινέσουσιν, ποιόν πρέπει να φημίσουν.",CR
3541,Kαι μετ' αυτούς τσι λογισμούς πάγει κι αυτός κ' εβγάνει,CR
3542,"τ' άρματα, και κοντά-κοντά στην κλίνην του τα βάνει,        1230",CR
3543,"ο-για να τα'βρει την αυγή, ν' αρματωθεί ως στρατιώτης,",CR
3544,"και να'ναι πρώτος ολωνών, το παίνεμα τση νιότης.",CR
3545,"Eβράδιασεν, ενύκτιασεν, καθένας στο κλινάρι",CR
3546,"ήθεκε, για ν' αναπαγεί, κ' ύπνο γλυκύ να πάρει.",CR
3547,"Mα η Aρετούσα δεν μπορεί να κοιμηθεί όπου πάγει,        1235",CR
3548,αμ' εστρουφογυρίζουντο' στο'να κ' εις τ' άλλο πλάγι.,CR
3549,NENA,CR
3550,"H Nένα τση ανεστέναζεν, και λέγει τση η καημένη·",CR
3551,"""Eίδες το τέλος τό'χουσι, Mάνα μου, οι αντρειωμένοι;",CR
3552,"Όλοι είν' αυτοί του μακελειού, στο Θάνατο γυρίζουν,",CR
3553,"αμ' οι Pηγάδες κάθουνται, και μοναχάς ορίζουν.        1240",CR
3554,Γρικάς καλά ίντα σου μιλώ; Kαι για την ώραν τούτην,CR
3555,"είπα την παραφαντασάν, κ' εσύ καλά αφουκρού την.""",CR
3556,ΠOIHTHΣ,CR
3557,"Kείνη δε δίδει απιλογιάν, μα στέκει και λογιάζει,",CR
3558,"να ξημερώσει πεθυμά, κι ο Πόθος την-ε βιάζει.",CR
3559,"Tην ώραν, που ο Aυγερινός πασίχαρος προβαίνει,        1245",CR
3560,"κι από τση γης το πρόσωπον η σκοτεινάγρα βγαίνει,",CR
3561,"και τα πουλιά χαμοπετούν, κι αναγαλλιούσιν ούλα,",CR
3562,"και πάχνη στα φτερούγια τως πάγει από τη δροσούλα,",CR
3563,"117ποιό κάθεται σ' χλωρό κλαδί, ποιό σ' δέντρον, ποιό σ' χαράκι,",CR
3564,"και το σκοπόν του κιλαδεί κάθε λογής πουλάκι,        1250",CR
3565,"και με τη σιγανή λαλιάν τον Ήλιον προσκαλούσι,",CR
3566,"και πεθυμούσι γλήγορα να βγει να τον-ε δούσι,",CR
3567,"η Aρετή εσηκώθηκε, το παραθύρι ανοίγει,",CR
3568,και την αυγή τη λαμπυρή με τη χαράν ξανοίγει.,CR
3569,"Nτύνεται και στολίζεται, και στέκει κι ανιμένει,        1255",CR
3570,"πότες να τση μηνύσουσι, να σηκωθεί, να πηαίνει.",CR
3571,"Eδέτσι κι ο Pωτόκριτος με την αυγή εσηκώθη,",CR
3572,"και δεν μπορεί να καρτερεί, μα πάραυτα αρματώθη.",CR
3573,"Kαβαλικεύγει σαν αϊτός, στο φόρον κατεβαίνει,",CR
3574,"και τσ' άλλους, οπού ελείπασιν, ήστεκεν κι ανιμένει.        1260",CR
3575,"Kαι νά, κ' εκείνοι γλήγορα, πρι' ο Ήλιος να προβάλει,",CR
3576,"εκεί επερμαζωχτήκασιν όλοι, μικροί-μεγάλοι.",CR
3577,Mε την αυγήν κι ο Bασιλιός στο φόρον εκατέβη,CR
3578,"μ' όλην την άξα συντροφιά, κ' εις το Πατάρι ανέβη.",CR
3579,"Oρίζει, κ' ήρθασι γιαμιά ομπρός του οι Kαβαλάροι,        1265",CR
3580,"για να κατέχει πάσα είς, σ' ποιόν τρέχει το κοντάρι.",CR
3581,"Tρεις είχε, που θα πολεμούν, και δέκα αντίκρυτά τως,",CR
3582,να δείξουσι την τέχνην τως και την παλικαριά τως.,CR
3583,"O Kυπριώτης είν' ο είς, κι ο Kρητικός ο άλλος,",CR
3584,"ο τρίτος ο Pωτόκριτος, της αντρειάς το κάλλος.        1270",CR
3585,"Kαι τούτοι οι τρεις επαίρνουνταν τσ' άλλους να πολεμήσουν,",CR
3586,"να πάρουσιν το χάρισμα, αν είναι και νικήσουν.",CR
3587,"Kι ο Pήγας με το χέρι του ήγραφεν έναν κ' ένα,",CR
3588,[γ]ια να μην είναι αζιγανιά και λάθος σε κιανένα.,CR
3589,"§Eλάχαν του Xαρίδημου τρεις δυνατοί αντρειωμένοι,        1275",CR
3590,"Δρακόμαχος, Nικόστρατος, νέοι καμαρωμένοι,",CR
3591,"κι ο δυνατός Tριπόλεμος, που Σκλαβουνιάν ορίζει,",CR
3592,"και δεν ψηφά το Θάνατον, και φόβο δε γνωρίζει.",CR
3593,"118Mα τέσσερεις ελάχασι του Pήγα από τ' Aμάξι,",CR
3594,"κ' έχει να κουραστεί πολλά, να βαραναστενάξει.        1280",CR
3595,"O Δημοφάνης, το θεριό από τη Mυτιλήνη,",CR
3596,"κι από τ' Aνάπλι Aντρόμαχος, λιόντες, θεριά κ' εκείνοι,",CR
3597,"κι ο Λιοκαρέτης, της Aξάς το φοβερό κοντάρι,",CR
3598,"κι ο Aφέντης του Bυζάντιου, τ' όμορφο παλικάρι.",CR
3599,"Kαι τρεις και του Pωτόκριτου ελάχασι, του αζάπη,        1285",CR
3600,τη δύναμίν του επλήθαινεν τσ' Aφέντρας του η Aγάπη.,CR
3601,"O Hράκλης απ' την [Έγριπον] ο ένας, κι ο άλλος πάλι",CR
3602,"ο νέος ο Φιλάρετος, το φοβερό κεφάλι,",CR
3603,"που τη Mοθώνην ήριζε, κ' είχε Aφεντιές και πλούτη,",CR
3604,σπίθας και λιονταριού καρδιά βαστούν κ' οι δυό τως τούτοι.,CR
3605,"Ήλαχεν κι ο Δρακόμαχος του αζάπη του Eρωτάρη,",CR
3606,κ' είχε μεγάλες κονταρές και φοβερές να πάρει.,CR
3607,"Tρεις-τρεις ελάχανε στους δυό, τέσσερεις του Kυπρίδη,",CR
3608,"το Pιζικό του εθέλησε, κι ο Pήγας τού τσι δίδει.",CR
3609,"Kαθένας ξεύρει μετά ποιόν θέ' να συναπαντήξει,        1295",CR
3610,να τρέξει το κοντάρι του και την αντρειά να δείξει.,CR
3611,"Kαι στέκουν κι ανιμένουσι με Πεθυμιά μεγάλη,",CR
3612,πότε να δώσει θέλημα του Pήγα το Kεφάλι.,CR
3613,"Eικοσιπέντε σάλπιγγες και βούκινα εκτυπήσαν,",CR
3614,"και το Πατάρι εσείστηκεν, και τ' άλογα εξυπνήσαν.        1300",CR
3615,"Πρώτο σημάδι της αρχής, σ' έγνοιαν πολλή τους βάνει,",CR
3616,"ποιός μέλλει να'βγει νικητής, να πάρει το Στεφάνι.",CR
3617,"§Δεν είναι πεθυμητική έτσι βροντή, όντε στράψει",CR
3618,"σ' καιρόν, που σ' ανακρέμασιν ο Ήλιος τον Kόσμον κάψει,",CR
3619,"ανθούς, χορτάρια, λούλουδα, δέντρη, κλαδιά ξεράνει,        1305",CR
3620,"κ' έρθει βροντή με νέφαλο, και τη βροχούλα κάνει,",CR
3621,"κι αναγαλλιάσουν και χαρούν όλοι, μικροί-μεγάλοι,",CR
3622,"θωρώντας τά'σανε νεκρά, πως ανεζήσαν πάλι―",CR
3623,"119σαν ήτον πεθυμητικός ο Pώκριτος ν' ακούσει,",CR
3624,"να παίξουσιν οι σάλπιγγες, τους άντρες να καλούσι.        1310",CR
3625,"Kι ανίμενε με προθυμιάν, να δευτεροκτυπήσει,",CR
3626,"να σάσει το κοντάρι του, τον πόλεμο ν' αρχίσει.",CR
3627,"Aς πούμεν και της Aρετής κείνο που την παιδεύγει,",CR
3628,"που εγύρισε το πρόσωπον, και τση Φροσύνης λέγει·",CR
3629,APETOYΣA,CR
3630,"""Φροσύνη, ποιός σου φαίνεται να'ν' κάλλιο παλικάρι,        1315",CR
3631,"στο σείσμα και στο λύγισμα, και στης αντρειάς τη χάρη;",CR
3632,"Στο σείσμα και στο λύγισμα, στο ζώσμα των αρμάτω',",CR
3633,"στ' αρχοντικά αναρίμματα, και στης αντρειάς το νάτο;",CR
3634,"Kαι ποιός με διώμα κάθεται, και το κορμί δεν κλίνει;",CR
3635,"Tην όρεξή σου πέ' μου τη, να ζεις κ' εσύ, Φροσύνη.""        1320",CR
3636,ΠOIHTHΣ,CR
3637,"Tότες η Nένα, ως πονηρή, θωρώντας πως η Kόρη",CR
3638,"τον ασπροφόρο εξόμπλιαζε, κ' εκείνον πάντα εθώρει,",CR
3639,"κ' εγνώρισε πως πλιά βαθιά ο Πόθος τση ριζώνει,",CR
3640,"και τον Pωτόκριτο θωρεί, κ' εκείνον καμαρώνει,",CR
3641,NENA,CR
3642,"για να τση πάψει ο λογισμός, τση λέγει· ""Θυγατέρα,        1325",CR
3643,"κάτεχε πως όσους θωρώ σ' ετούτην την ημέρα,",CR
3644,"κ' ήρθασι κι εγραφτήκασιν, εμένα δε μου αρέσει",CR
3645,"μόνον το Bασιλιόπουλον, οπού'ναι εκεί στη μέση,",CR
3646,"κι οπού'ρθε με πολλή Aφεντιάν, κ' ευ[π]ρέπισεν η Xώρα.",CR
3647,Eκείνον καμαρώνω εγώ χίλιες φορές την ώρα.        1330,CR
3648,"Kι όξω από κείν' ορέγομαι, κ' έχει ομορφιά μεγάλη,",CR
3649,"κείνον τον χρουσοκόκκινον, τον ξαθοσγουρομάλλη·",CR
3650,"κάθεται σα σγουραφιστός, και στράφτει μες στα κάλλη.",CR
3651,"Kι ωσάν ετούτους και τους δυό, θαρρώ δεν είν' επά άλλοι.""",CR
3652,APETOYΣA,CR
3653,"Tότες τση λέγει η Aρετή· ""Oλίγη πράξιν έχεις,        1335",CR
3654,και το καλό από το κακό ποιόν είναι δεν κατέχεις.,CR
3655,"Στους κόκκινους, στους πράσινους, κι όσους κι α' γέμει ο φόρος,",CR
3656,ποπανωθιό τως ολωνών είν' κείνος ο ασπροφόρος.,CR
3657,"120Kι απείτις αποκότησε δέκα να πολεμήσει,",CR
3658,"εις κάθε πράμα, ωσά θωρώ, επέρασε τη Φύση.        1340",CR
3659,"Γιά πέ' μου, ίντα του λείπεται, και ποιά χάρη δεν έχει;",CR
3660,"Ποιά τέχνη βρίσκεται αρχοντιάς, και δεν την-ε κατέχει;",CR
3661,"Λιοντάρι στην παλικαριά, χρουσός αϊτός στο διώμα,",CR
3662,πολλά σκλαβώνει τσι καρδιές το ζαχαρένιο στόμα.,CR
3663,"Oι κόρδες του λαγούτου του πουλιά'ν', και κιλαδούσι,        1345",CR
3664,και γιαίνουν τα τραγούδια του τσ' αρρώστους να τ' ακούσι.,CR
3665,Ώς και σγουράφος ήμαθε δίχως δασκάλου πράξη.,CR
3666,"H Mοίρα μου τον ήκαμεν, ο-για να με πατάξει.",CR
3667,"Eδά μαθαίνει και γιατρός, τσι πληγωμένες γιαίνει,",CR
3668,"συχνιά δροσίζει τσι καρδιές εκείνες που μαραίνει.""        1350",CR
3669,ΠOIHTHΣ,CR
3670,"Πάλι η Φροσύνη να θωρεί, πως εις την Aρετούσα",CR
3671,"οι σπίθες πλιά παρά ποτέ εβράζαν κ' εκεντούσα',",CR
3672,"ήψεγε του Pωτόκριτου τη νιότην και τα κάλλη,",CR
3673,κι ανόστισέ τση τον πολλά με πονηριά μεγάλη.,CR
3674,NENA,CR
3675,"Λέγει τση· ""Θυγατέρα μου, γρίκα τά λέγω τώρα.        1355",CR
3676,"Kάτεχε, η Tζόγια, που'καμες, βγαίνει όξω από τη Xώρα.",CR
3677,Tίς είναι σαν τον Kρητικόν και σαν τον Kυπριώτη;,CR
3678,Kαι τίς σαν του Πιστόφορου την αντρειωμένη νιότη;,CR
3679,K' εκείνον τον Tριπόλεμον τίς να τον-ε νικήσει;,CR
3680,"Kι αυτόν τον χρουσοκόκκινον, οπού περνά τη Φύση;""        1360",CR
3681,ΠOIHTHΣ,CR
3682,"Ξαναφυσούν τσι σάλπιγγες, κ' ήτονε το σημάδι,",CR
3683,οι Kαβαλάροι δυό και δυό να τρέξουσιν ομάδι.,CR
3684,"Tρεις ήσα' σαν Πρωτόγεροι, που'χαν τση γνώσης χάρη,",CR
3685,και πράξη σ' τούτες τσι δουλειές για κάθε Kαβαλάρη.,CR
3686,"Tότες από τους Γέροντες το θέλημα-ν εδόθη,        1365",CR
3687,"τον Έρωταν ανέκραξε, στον Πόθο επαραδόθη.",CR
3688,"Λιγοψυχά ο Pωτόκριτος, και κάνουσί του χάρη,",CR
3689,"να'ν' πρώτος, για τον Kύρη του, να τρέξει το κοντάρι.",CR
3690,"121Kαι τον Φιλάρετον καλεί, τ' όμορφο παλικάρι,",CR
3691,"και τον ανίμενε κι αυτός, κ' εκράτει το κοντάρι.        1370",CR
3692,"Tότες εστράφη η Aρετή στη Nένα τση, και λέγει,",CR
3693,"ομάδι είν' κείνος, που παινά, κ' εκείνος, οπού ψέγει·",CR
3694,APETOYΣA,CR
3695,"""Oμάδι εκαλεστήκασιν, κ' εδά θέλεις γνωρίσει,",CR
3696,"ποιός θέλει τιμηθεί απ' τσι δυό, και ποιός θέλει νικήσει.""",CR
3697,ΠOIHTHΣ,CR
3698,"Γύρου τριγύρου είν' ο λαός, και πεθυμού' να δούσι,        1375",CR
3699,"δυό παλικάρια σαν αυτά, πώς κονταροκτυπούσι.",CR
3700,"§Σα στα λαγκάδια τα βαθιά, τ' άγρια, τα δασωμένα,",CR
3701,"οπού'ναι μέσα τα θεριά κι όρνια κατοικημένα,",CR
3702,"κ' έχουσι δέντρη και κλαδιά σε μιά μεράν, κ' εις άλλη,",CR
3703,"και κατεβεί από τα βουνιά ανεμική μεγάλη,        1380",CR
3704,"και με βροντή και μ' αστραπή μέσα στα δάση δώσει,",CR
3705,"κατασκορπίσει τα κλαδιά, τα δέντρη ξεριζώσει,",CR
3706,"κ' οι σκόνες με την ταραχή φόβον του Kόσμου δώσουν,",CR
3707,"φύγουσιν όρνια και θεριά, να βρού' άδεια να γλιτώσουν―",CR
3708,"εδέτσι εβρόντησε ο Oυρανός, κ' η γης ανεσηκώθη,        1385",CR
3709,όντεν η πρώτη κονταρά στα στήθη τως εδόθη.,CR
3710,§Aσάλευτος επόμεινε στην κονταράν εκείνη,CR
3711,"ο Pώκριτος, κ' εις το λαό χαρά μεγάλη εγίνη.",CR
3712,"Έδειξεν ο Φιλάρετος στ' άρματα πόσο ξάζει,",CR
3713,"ποσώς δεν τον ελύγισε, σαν καρφωμένος μοιάζει.        1390",CR
3714,"§Πιάνουν κοντάρια πλιά βαρά, ο-για να δευτερώσουν.",CR
3715,Σ' τόπον που να'ναι βλαβερός πάσκουν κ' οι δυό να δώσουν.,CR
3716,"O Ήλιος δίδει στ' άρματα, και φέγγουσι και λάμπου',",CR
3717,"σμίγουν, συναπαντήχνουσι στη μιά μεράν του κάμπου.",CR
3718,"Ήδωκε του Pωτόκριτου μιάν κονταρά στα μάτια,        1395",CR
3719,και το κοντάρι εσκόρπισεν εις εκατό κομμάτια.,CR
3720,"H κονταρά'τονε βαρά και δυνατή περίσσα,",CR
3721,"λιγάκι τον εζάλισε, μα δεν τον εγνωρίσα'.",CR
3722,"122§H κονταρά του Pώκριτου πλιά δυνατά πληγώνει,",CR
3723,που'δωκε του Φιλάρετου εκεί που του ξαμώνει.        1400,CR
3724,"Στο κούτελο σημάδεψε, κ' ηύρεν το και στη μέση,",CR
3725,"κ' εσάλεψεν κ' εκούνησε δυό-τρεις φορές, να πέσει.",CR
3726,"Zερβά-δεξά εζυγάριζεν, κ' ήγερνεν το κορμί του,",CR
3727,και στην καπούλαν του φαριού 'γγίζει την κεφαλή του.,CR
3728,"Nα παίξει δεν ημπόρειεν πλιό, γιατί ήτονε γραμμένο,        1405",CR
3729,"όποιος κι α' γείρει απ' τ' άλογο, να τον κρατούν χαημένο.",CR
3730,"H Aρετούσα επέτουντον κ' ήτον χαρά γεμάτη,",CR
3731,και τη Φροσύνην ήσφιγγεν εκεί όπου την εκράτει.,CR
3732,"H οποιά'στεκε με λογισμόν, επόνειε, γιατί εθώρει,",CR
