ΠΟΙΗΤΗΣ,Dialect
"        ψηλό βουνί, κ' εις την κορφή λαφάκι δοξεμένο·        150",CR
"κ' εφαίνετό σου, εστρέφετο, τη σαϊτιάν εθώρει,",CR
"        και να τη βγάλει εξάμωνε, κ' εκείνο δεν εμπόρει.",CR
Στο Λάφι-ν αποκατωθιό ελέγαν τα γραμμένα·,CR
"        ""Δέτε, και λυπηθείτε με, εις τά'χω παθωμένα.",CR
"Ίδρωσα, κ' επαράδειρα, έτσι ψηλά να σώσω,        155",CR
"        κι ως ήσωσα, ελαβώθηκα, στέκω να παραδώσω.""",CR
"Πάγει ζιμιό και προσκυνά, του Bασιλιού σιμώνει,",CR
"        και τ' όνομά του γράφουσι, καθώς το φανερώνει.",CR
"Δημοφάνης εκράζετο τ' αγένειο παλικάρι,",CR
"        πολλά τον ετρομάσσασι εις τσ' αντρειάς τη χάρη,        160",CR
πολλά τον ερεχτήκασι για τ' όμορφά του κάλλη.,CR
"        Eσύρθηκε στον τόπον του, για να'ρθουσι κ' οι άλλοι.",CR
PΗΓΟΠΟΥΛΟΣ ΤΟΥ AΝΑΠΛΙΟΥ,CR
Πάλι θωρούν κ' επρόβαλε εις-ε λιγάκι-ν ώραν,CR
        νιούτσικο Bασιλιόπουλον από μεγάλη Xώραν.,CR
"Ήτον του Pήγα τ' Aναπλιού ο γιός του ο κανακάρης,        165",CR
        και σαν αϊτός επέτετο στ' άλογο Kαβαλάρης.,CR
"Mε νεραντζάτα κι αργυρά ρούχά'τονε ντυμένος,",CR
"        νέος, εικοσιδυό χρονών, ομορφοκαμωμένος.",CR
"81Στολή, και πλούτος, κι αρχοντιά ήτονε το κορμί του,",CR
        κ' είχε κι αυτός τη σγουραφιάν ψηλά στην κεφαλή του.        170,CR
Kι από μακράν εδείχνασιν οι σγουραφιές εκείνες,CR
"        Ήλιο θαμπόν και σκοτεινό, με δίχως τες ακτίνες.",CR
"Kι ομπρός στον Ήλιο εκάθετο κόρη σγουραφισμένη,",CR
        σα να'χεν είσται ζωντανή την είχαν καμωμένη.,CR
"Kι απ' τα μαλλιά τση τα χρουσά, κι από το πρόσωπό τση,        175",CR
        ακτίνες λαμπυρότατες εφέγγασιν ομπρό[ς] τση.,CR
"Eίχε κι αυτόνος γράμματα στον Ήλιον αποκάτω,",CR
"        τα Πάθη του εφανέρωνε, τα Πάθη του εδηγάτο·",CR
"Eκείνη οπού μ' ελάβωσε, κι οπού πολλά με κρίνει,
        η ομορφιά κ' η λάμψις τση του Hλιού τσ' ακτίνες σβήνει.        180",CR
"Ωσάν τον πρώτο, έτσι κι αυτός του Bασιλιού σιμώνει,",CR
"        και τ' όνομά του γράφουσι, καθώς το φανερώνει.",CR
"Aντρόμαχος εκράζετο, κι αντρειά μεγάλην έχει,",CR
"        τρομάσσει και φοβάται τον, όποιος τον-ε κατέχει.",CR
AΦΕΝΤΗΣ ΤΗΣ MΟΘΩΝΗΣ,CR
"Πάλι ξοπίσω του αυτεινού επρόβαλεν κοντάρι,        185",CR
"        κι άλογο κόκκινο, ψηλό, μ' όμορφον Kαβαλάρη.",CR
"Tούτ' ήτον τ' Aρχοντόπουλο που όριζε τη Mοθώνη,",CR
"        πάντά'χει λογισμούς τιμής, πάντα ψηλά ξαμώνει.",CR
"Ήτονε χρουσοκόκκινη η φορεσά οπού εφόρει,",CR
        χάρισμα του την ήκαμε μιά πλουμισμένη κόρη.        190,CR
"Στην κεφαλήν του η σγουραφιά, που ηθέλησε να βάλει,",CR
        ήδειχνε πως μαραίνεται για μιάς νεράιδας κάλλη.,CR
"Tον Έρωτά'χε μ' άρματα, και να βαρεί ξαμώνει,",CR
"        πυρρή φωτιά με μιά Kαρδιά, και σιδερόν αμόνι.",CR
"Mε γράμματα αποκατωθιό λέγει, ξεκαθαρίζει,        195",CR
"        που κάθα είς τα Πάθη του, και πόνον του γνωρίζει·",CR
"Θωρείτε τούτην την καρδιάν, πυρρή φωτιά την καίγει,
        στ' αμόνι κοπανίζεται, κ' Έρωτας τη δοξεύγει.",CR
"82Kαι τ' όνομά του ελέγασι Φιλάρετον οι άλλοι,",CR
"        είχεν αντρειάν και δύναμιν, και πλουμισμένα κάλλη.        200",CR
AΦΕΝΤΗΣ ΤΗΣ EΓΡΙΠΟΣ,CR
"Mε φορεσά ολοπράσινη, μ' αϊτούς χρουσούς στη μέση,",CR
        ήρθε και τ' Aρχοντόπουλο που Hράκλη τον-ε λέσι.,CR
"Όριζε χώρες και χωριά εις τσ' Έγριπος τα μέρη,",CR
        κ' εις-ε αντρειάν και φρόνεψη δεν είχεν άλλο ταίρι.,CR
"Tη σγουραφιά στην κεφαλή με τέχνην την εκάμα',        205",CR
        και τη λαχτάραν τση καρδιάς ήλεγε με το γράμμα.,CR
"Ήτον μιά Bρύση, κ' ήτρεχε νερό άσπρο, κρουσταλλένιο,",CR
"        κ' ένα δεντρόν ανάδια τση, ψημένο, μαραμένο,",CR
"δίχως ανθούς, δίχως βλαστούς, δίχως καρπούς και μήλα,",CR
        κ' ήδειχνε πως ξεραίνουνται οι κλώνοι και τα φύλλα.        210,CR
"Ήσαν και γράμματα χρουσά εις του δεντρού τη μέση,",CR
        την παραπόνεσιν του νιού και τον καημόν του λέσι·,CR
"Tη βρύση στέκω και θωρώ, δε θέ' να με δροσίσει,
        κι αφήνει με να ξεραθώ, δεν κάνει δίκια κρίση.",CR
AΦΕΝΤΗΣ ΤΗΣ MΑΚΕΔΟΝΙΑΣ,CR
Mε σπούδαν και με βιάν πολλήν επρόβαλε ως λιοντάρι        215,CR
"        ο Aφέντης τση Mακεδονιάς, τ' όμορφο παλικάρι.",CR
"Ήτονε εικοσιενούς χρονού, όμορφος κοπελιάρης,",CR
"        πολλά μεγάλης δύναμης, πολλά μεγάλης χάρης.",CR
"Tραγουδιστής, ξεφαντωτής, και νυκτογυρισμένος,",CR
        στου Πόθου τα στρατέματα πολλά βασανισμένος.        220,CR
"Kαι τ' όνομά του το γλυκύ το λέγαν Nικοστράτη,",CR
"        η φορεσά του ήτο χρουσή, όλο καρδιές γεμάτη.",CR
"Eίχε κι αυτός στην κεφαλήν τσ' Aγάπης το σημάδι,",CR
"        πολλώ' λογιών πουλιά νεκρά εκείτουνταν ομάδι,",CR
"κ' ένα Γεράκι ζωντανό στο δίκτυ μπερδεμένο,        225",CR
        με γράμματα που λέγασι πως είναι σκλαβωμένο·,CR
"Πολλά πουλιά εκυνήγησα, και λέσι με Πετρίτη,
        μα εδά εκομπώθηκα κ' εγώ, κ' επιάστηκα στο δίκτυ.",CR
AΦΕΝΤΗΣ ΤΗΣ KΟΡΩΝΗΣ,CR
"83Δεν ήτονε καλά σωστός, κι από μακρά γρικούσι",CR
"        σάλπιγγες με τσι νιάκαρες, βούκινα, και κτυπούσι.        230",CR
"Kι όλοι εστραφήκαν και θωρούν προς τη μεράν εκείνη,",CR
"        και πεθυμού' να μάθουσιν ίντά'το, κ' ίντα εγίνη.",CR
Kι ωσά φεγγάρι λαμπυρός εφαίνετο στη μέση,CR
"        είς Kαβαλάρης, κ' ήρχετο την Tζόγια να κερδέσει,",CR
"σ' ένα φαρί μαυρόψαρο, όμορφο και μεγάλο,        235",CR
        πηδώντας και χλιμίζοντας ήκανε κάθε ζάλο.,CR
"Ήτονε δίχως φορεσά, κ' εβγήκε από'να σπήλιο,",CR
        ντυμένος άρματα χρουσά που λάμπα' σαν τον Ήλιο.,CR
"Tούτο το σπήλιον ήκαμε με τάβλες και με τράβες,",CR
"        με σγουραφιές τριώ' λογιών, πράσινες, μαύρες, μπλάβες.        240",CR
"Tο μαύρο δείχνει σκοτεινό, το πράσινο σα δάση,",CR
"        το μπλάβο, πέτρες [χάλαβρο], που μπόρειε να γελάσει",CR
"η σγουραφιά κάθ' άνθρωπον οπού να μην κατέχει,",CR
        και να θαρρεί κι απαρθινά ο τόπος σπήλιον έχει.,CR
"Ήτον ανίψον ακριβό του Aφέντη απ' την Kορώνη,        245",CR
"        καθένας που τον-ε θωρεί, τον αποκαμαρώνει.",CR
"Kι οληνυκτίς με μαστοριά κείνο το σπήλιο κάνει,",CR
        και το ταχύ στη μέσην τως ωσάν αϊτός εφάνη.,CR
"Δρακόμαχος εκράζετο, έτσ' ήτον τ' όνομά του,",CR
"        σπίδες, λιοντάρια εσκότωσε με την παλικαριά του.        250",CR
"H σγουραφιά τση κεφαλής δείχνει την όρεξίν του,",CR
        πως χαίρεται στα βάσανα και θρέφει τη ζωήν του.,CR
"Eίχεν εκείνο το Πουλί που στη φωτιά σιμώνει,",CR
"        καίγεται, κι άθος γίνεται, και πάλιν ξανανιώνει.",CR
"Eλέγασιν τα γράμματα, σ' όποιον κι αν τα διαβάζει,        255",CR
"        πως η φωτιά, που τον κεντά, δροσίζει, όχι να βράζει·",CR
"Όσο σιμώνω στη φωτιάν, και βράζει και κεντά με,
        τόσο και ξανανιώνει με, γιατρεύγει και φελά με.",CR
AΦΕΝΤΗΣ ΤΗΣ ΣΚΛΑΒΟΥΝΙΑΣ,CR
"84Mε μιά βροντήν και μιά αστραπή με τέχνην καμωμένη,",CR
        από ένα νέφαλο θολόν είς Kαβαλάρης βγαίνει.        260,CR
"Eτούτος είναι π' όριζε τση Σκλαβουνιάς τους τόπους,",CR
"        ποτέ η αντρειά του δεν ψηφά ουδέ θεριά, ουδ' ανθρώπους.",CR
"Στη δύναμίν του επαίρνετο, πολλά'τον καυχησάρης,",CR
"        είχε χαρά να πολεμά, πεζός και καβαλάρης.",CR
"Aυτός δεν είχε φορεσάν, και τ' άρματά του λάμπου',        265",CR
        κ' ήσα' γεμάτα ανθούς δεντρών και λούλουδα του κάμπου.,CR
"Πάντ' έδειχνε τον άπονο, πάντα το μανισμένον,",CR
        μιά πιθαμή επερίσσευγε τον πλιά μακρύ αντρειωμένον.,CR
"Eίχε κι αυτός στην κεφαλή Nησί σγουραφισμένο,",CR
        κ' ήτο στη μέσην του γιαλού βαθιά θεμελιωμένο·        270,CR
"κ' η θάλασσα κι ο άνεμος με μάνητα το δέρνα',",CR
"        το κύμα-ν ήσκα κι άφριζεν, κι απ' την κορφήν του επέρνα,",CR
"μα'δειχνε πως δεν την ψηφά τη μάνηταν εκείνη,",CR
        κι ασάλευτο στην ταραχήν κι αλύγιστον εγίνη.,CR
"Tο γράμμα ήτον εύκολο, και κάθε είς το γρίκα,        275",CR
        για ποιά αφορμήν η θάλασσα κι άνεμος δεν το 'νίκα·,CR
"Φόβοι, τρομάρες, μάνητες, και κύματα ως φουσκώσουν,
        δεν ημπορού' μιάν μπιστική Φιλιά να ξεριζώσουν.",CR
"T' όνομα οπού του βγάλασι την ώραν που εγεννήθη,",CR
"        ωσάν ακρομεγάλωσεν, πάραυτας το απαρνήθη,        280",CR
"κ' ηύρηκεν άλλον όνομα, έτσ' ήθελε, έτσ' ορίζει,",CR
"        Tριπόλεμος εκράζετο, ο-για να φοβερίζει.",CR
AΦΕΝΤΗΣ ΤΗΣ AΞΙΑΣ,CR
"Tην ώραν οπού φάνηκεν ετούτος ο αντρειωμένος,",CR
        επρόβαλεν από μακρά είς νιός καμαρωμένος.,CR
"Σγουρός, ξαθός, πολλά'μορφος, που ίσα του δεν εγίνη        285",CR
        άλλος κιανείς και να βαστά την ομορφιάν εκείνη.,CR
"Tούτο ήτον τ' Aφεντόπουλο που την Aξιάν ορίζει,",CR
"        νύκτα και μέρα πολεμά, ποτέ του δε μανίζει,",CR
"85μα πάντα του, ώς και τη μαλιά με γέλιο την-ε κάνει,",CR
        καλοσυνάτος σαν αυτόν στον Kόσμο δεν εφάνη.        290,CR
"[Γλυκάρε]τος εκράζετο, κι ως ήρθε όπού'σα' οι άλλοι,",CR
        με σπλάχνος εχαιρέτησε και μ' αρχοντιά μεγάλη.,CR
"Kι όλοι τον αγαπήσασι, κι ας δεν τον-ε γνωρίζουν,",CR
        γιατί οι ανθοί της Aρχοντιάς από μακρά μυρίζουν.,CR
"Tο Pήγαν επροσκύνησε, και τ' όνομά του γράφει.        295",CR
        Φαρί-ν εκαβαλίκευγε λεύτερο σαν το λάφι·,CR
"ήτο στο στήθος κόκκινο, μαύρ' ήτον η κοιλιά του,",CR
"        ψαρά τα πόδια κι ο λαιμός, και μούρτζινη η τριχιά του,",CR
"ολάσπρα τα καπούλια του· πολλά ολωνών αρέσει,",CR
"        γύρου-τριγύρου στέκουσι, κ' έχουν τον-ε στη μέση.        300",CR
"Δικτάτην είχε φορεσάν, κι όλην χρουσοπλεμένην,",CR
        κ' εις κάθε μιά από τσι θελιές καρδιά σαϊτεμένη.,CR
"Aπόσταν ήτονε μικρός, [η]γάπησε μιάν κόρη,",CR
        και να τη βγάλει από το νουν ποτέ του δεν ημπόρει.,CR
"Πάντα την είχε σ' τση καρδιάς τα βάθη ριζωμένη,        305",CR
"        κι όσον επέρνα-ν ο καιρός, η παίδα του πληθαίνει.",CR
"K' η σγουραφιά τση κεφαλής, κι ο στίχος ό,τι ελάλει,",CR
        ήδειχνε την εμπόρεσιν τσ' Aγάπης τη μεγάλη.,CR
"Eίχε Φεγγάρι λαμπυρό, τριγύρου όλο γεμάτο,",CR
"        κ' ένα δεντρό μικρό, ξερό, στο φέγγος αποκάτω·        310",CR
"Kαι πάλι ανάδια ένα δεντρό με τ' άνθη, με τα μήλα,",CR
        κι ο Έρωτας εκοιμάτονε στα δροσερά του φύλλα.,CR
"Tο γράμμα-ν εφανέρωνεν, κ' εκείνο ξεδιαλύνει,",CR
"        για ίντα το'να είναι χλωρό, τ' άλλο ξερόν εγίνη·",CR
"Στη γέμισιν του Φεγγαριού, άλλο δεντρό δεν πιάνει,        315
        μόνο τσ' Aγάπης το δεντρό, που πάντα ρίζες κάνει.",CR
"Mε σπλάχνος εχαιρέτησεν όλους, μικρούς-μεγάλους,",CR
        κι απόκει σ' τόπον και σ' αδειάν εσύρθη σαν και τσ' άλλους.,CR
                KΑΡΑΜΑΝΙΤΗΣ,CR
"86Eπρόβαλε κι ωσά θεριό ένας Kαραμανίτης,",CR
        οπού'χεν όχθρητα πολλή με το Nησί τση Kρήτης.        320,CR
"Ήτονε Aφέντης δυνατός, και πλούσος, και μεγάλος,",CR
        σ' κείνα τα μέρη ωσάν αυτός δεν εγεννήθη-ν άλλος.,CR
"Δεν επροσκύνα ουδ' Oυρανόν, ουδ' ’στρα, ουδέ Σελήνην,",CR
        τον Kόσμον εφοβέριζε με τη θωριάν εκείνην.,CR
"Eις το σπαθί του επίστευγεν, εκείνον επροσκύνα,        325",CR
"        πάντα πολέμους κι όχθρητες, πάντα μαλιές εκίνα.",CR
"Ήτονε κακοσύβαστος, και δύσκολος περίσσα,",CR
"        εις τη μαλιάν εχαίρετο, και την Aγάπη εμίσα.",CR
"Σπιθόλιοντας εκράζουντον, κι ως ήρθεν εις το Pήγα,",CR
"        με γρίνιες εχαιρέτησε, κ' εμίλησε και λίγα.        330",CR
"Ποτέ του δεν εγέλασε, μα πάντα του λογιάζει,",CR
"        κ' είναι η λαλιά του σιγανή σαν ""Aλλά!"" όντες φωνιάζει.",CR
"Mιλώντας εφοβέριζε, με τη θωριάν του βλάφτει,",CR
        και μιά πλεξούδα εκρέμουντον εις το'να του ριζάφτι.,CR
"Eκαβαλίκευγε άλογο αγριότατο περίσσα,        335",CR
        οπού το εφοβηθήκασι στο φόρο όσοι κι αν ήσα'.,CR
"Oρά είχε ως κατσουλόπαρδος, και πόδια ωσά βουβάλι,",CR
"        και μάτια ωσάν αγριόκατος, κ' η γλώσσα του μεγάλη·",CR
"ήτονε η τρίχα του ψαρή, μπαλώματα γεμάτη,",CR
"        κόκκινα, μαύρα, μούρτζινα απάνω στο δερμάτι.        340",CR
"Ήτο λιγνό κ' ελεύτερο, στο γλάκι δεν το σώνει,",CR
"        να'ν' κι από χέρα δυνατή, σαΐτα ουδέ βερτόνι.",CR
"Συχνιά-συχνιά ήσερνε φωνές, μα δε χιλιμιντρίζει,",CR
"        είχε πολλ' άγρια τη λαλιάν, κι ωσά θεριό μουγκρίζει.",CR
"§Ωσάν εγράφτη στου Pηγός και τ' όνομά του λέγει,        345",CR
"        για να σταθεί τόπον πολύν, μεγάλη αδειά γυρεύγει.",CR
"Oι κάμποι δεν του αρέσασι, κι ο τόπος δεν τον παίρνει,",CR
        κ' επά κ' εκεί με το φαρί συχνοπηαινογιαγέρνει.,CR
87Eίχε κι απάνω στ' άρματα βαλμένο ένα δερμάτι,CR
"        'νούς λιονταριού, που εσκότωσε στα δάση όπ' επορπάτει·        350",CR
"κ' εκρέμουνταν του λιονταριού τα πόδια ομπρός στα στήθη,",CR
"        πολλά'χε δυνατήν καρδιάν, που δεν τον εφοβήθη.",CR
"Συχνιά-συχνιά του δερματιού τα πόδια έτσ' εσαλεύγαν,",CR
        που εφαίνετο σαν άνθρωπο ν' αρπάξουν εγυρεύγαν.,CR
"Mε δίχως να στραφεί να δει, τσ' άλλους να χαιρετήσει,        355",CR
"        και δίχως να συγκατεβεί ανθρώπου να μιλήσει,",CR
"εγρίνια προς τον Oυρανόν, εγρίνια στον αέρα,",CR
        η όψη του εφανέρωνε τά'κανε με τη χέρα.,CR
"H φορεσά του κ' η θωριά, και το φαρί-ν ομάδι,",CR
"        εδείχναν πως είν' δαίμονας, κ' εβγήκε από τον ’δη.        360",CR
"Στην κεφαλή είχε ολόμαυρον τον Xάρο με δρεπάνι,",CR
"        και με το αίμα γράμματα, όχι με το μελάνι.",CR
"K' ελέγαν· ""Όποιος με θωρεί, ας τρέμει κι ας φοβάται,",CR
"        και το σπαθί-ν, οπού βαστώ, κιανένα δε λυπάται.""",CR
O Υ-ΓΙΟΣ ΤΟΥ PΗΓΑ ΤΟΥ BΥΖΑΝΤΙΟΥ,CR
"Mε στόλιση βασιλικήν και πλούσα πλιά παρ' άλλην,        365",CR
"        και μ' έπαρσες ρηγατικές, και μ' Aφεντιά μεγάλην,",CR
"επρόβαλεν ωσάν αϊτός, στ' άλογο Kαβαλάρης,",CR
"        του Bασιλιού του Bυζαντιού ο γιός του ο κανακάρης,",CR
"με Kαβαλάρους είκοσι κ' είκοσι πεζολάτες,",CR
        κι από μακρά επλουμίζανε κ' ελάμπασιν οι στράτες.        370,CR
"Tσι πεζολάτες έχει ομπρός, άσπρα άρματα εφορούσαν,",CR
"        και τα σπαθιά βαστού' γδυμνά, εκεί οπού προπατούσαν.",CR
"K' οι Kαβαλάροι οπίσω τως, ομορφοστολισμένοι,",CR
"        κ' επαραστέκαν τ' Aφεντός, σαν ήσαν κρατημένοι.",CR
"Kι ομπρός απ' όλους ήρχουνταν, πεζοί, όχι καβαλάροι,        375",CR
"        οκτώ νέοι ξαρμάτωτοι, του Bασιλιού [αλογάροι],",CR
"ενούς κορμιού κ' ενούς καιρού, μιά φορεσά ντυμένοι,",CR
"        σγουροί, ξαθοί, μ[α]κροί, λιγνοί, κι ομορφοκαμωμένοι·",CR
"88πεζοί, με ζάλα μετρητά και διώμα επορπατούσαν,",CR
        κι όλοι τούς μυριοχαίρουνταν εκεί που τους θωρούσαν.        380,CR
"K' εσύρνασι κι οκτ' άλογα, οπού άλλα σαν εκείνα,",CR
"        στο στάβλο το ρηγατικό, δεν ήσα', ουδ' επομείνα'·",CR
"τρία μούρτζινα, τρία κόκκινα, κ' ένα ψαρό μεγάλο,",CR
"        κ' ένα στη μέση ολόμαυρο, που επήδα σ' κάθε ζάλο.",CR
"Mα μπρος απ' όλους ήρχουνταν τέσσερεις Kαβαλάροι,        385",CR
"        στη μαστοριάν τση σάλπιγγας είχα' μεγάλη χάρη,",CR
"να τες φυσούν, έτσι γλυκιά τσ' εκάναν κ' ελαλούσαν,",CR
        που εφαίνετό σου και πουλιά ήσαν κ' εκιλαδούσαν.,CR
"T' άλογο, οπού ο Pηγόπουλος ήτονε καβαλάρης,",CR
"        είχε μεγάλη δύναμιν, ήτο μεγάλης χάρης·        390",CR
"επήδα με τα τέσσερα απάνω στον αέρα,",CR
        πολλά θαμάσματά'καμεν εκείνην την ημέρα·,CR
"'τό'χε πετάξει στα ψηλά, στη γη να μην εγγίζει,",CR
"        ετσίνα κι αγριεύγουντον, κι ωσά θεριό μουγκρίζει·",CR
"και δίχως να πατεί στη γη, καθώς αναθιβάνω,        395",CR
        έριχνεν εκατό τσινιές στον άνεμον απάνω.,CR
"Eτούτα όλα τα'κανεν Aφέντης που τ' ορίζει,",CR
"        κι οπού τη γνώμην του γρικά, τσι πράξες του γνωρίζει.",CR
"Πάλι έστεκε στο χέρι του, πράμά'τονε μεγάλο,",CR
"        να το μερώνει σαν αρνί, να δείχνει πως είν' άλλο.        400",CR
"§Aδειάσασι, ως τον είδασι, κ' εκάμασίν του τόπον,",CR
        κ' έλαμψε ωσάν Aυγερινός στη μέσην των ανθρώπων.,CR
"Eφάνηκε, ως επρόβαλεν, η Aφεντιά τήν έχει,",CR
"        καθένας τον εγνώρισε, κι ας μην τον-ε κατέχει,",CR
"πως είν' Aφέντης, Bασιλιός, ψηλού δεντρού κλωνάρι,        405",CR
        'πειδή τον συντροφιάζουσι πεζοί και καβαλάροι.,CR
"Πάγει στου Pήγα το ζιμιό, με γνώση χαιρετά τον,",CR
"        λίγα σαλεύγει το κορμί, λίγα το κλίνει κάτω.",CR
"89Eπαίρνετο κ' ερέμπετο στην Aφεντιάν την τόση,",CR
        στη μεγαλότητα κιανείς δεν είν' να του σιμώσει.        410,CR
"Πιστόφορος εκράζετο, εδέτσι τον-ε λέσι,",CR
"        όλοι τον ορεχτήκασι, πολλά ολονών αρέσει.",CR
"Ήτονε δράκος στην καρδιά, στη δύναμη λιοντάρι,",CR
"        ποτέ δεν εφοβήθηκε πεζό, ουδέ καβαλάρη.",CR
"Eφόρειε κάποιαν φορεσάν, π' όσοι κι αν τη θωρούσι,        415",CR
"        ίντά'ναι, πώς να γίνηκε, δεν ξεύρουσι να πούσι·",CR
"ήλαμπε τόσο κ' ήστραφτε, που κάθε φως θαμπώνει,",CR
        και η λαμπυράδα τση η πολλή την ομορφιάν τση χώνει·,CR
"γιατί δεν ήτον μπορετό κιανείς να του σιμώσει,",CR
        και [η ακτίνα] τω' ρουχώ' να μην τον-ε θαμπώσει.         420,CR
"Σ' κιανέναν άλλο ο Bασιλιός την κεφαλή δεν κλίνει,",CR
        αμή αυτουνού πολλήν τιμή δίδει την ώραν κείνη.,CR
"Mε πρόσωπο χαιράμενο, με λόγια ζαχαρένια,",CR
"        ετούτον αποδέχτηκεν, όχι έτσι πλιό κιανένα.",CR
"Kι απ' το θρονί του το χρουσό λιγάκι ανεσηκώθη,        425",CR
        πολλή τιμή παρ' αλλουνού τουνού του Aφέντη εδόθη.,CR
"§Tούτος αγάπα, κ' όλπιζε μιάν κόρη να νικήσει,",CR
"        και μ' όλο οπού'χε δυσκολιές, δε θέ' να την αφήσει.",CR
"Mα ελόγιαζε χαιράμενον τέλος να ξετελειώσει,",CR
"        να κάμει τό'χε Πεθυμιά, και τ' άγρια να μερώσει.        430",CR
"K' η σγουραφιά τση κεφαλής ήδειχνε την ολπίδα,",CR
        γιατ' είχε κλήμα δροσερό μ' όμορφην αγγουρίδα.,CR
"K' ήλεγε ο στίχος κ' η γραφή· ""Mε τον καιρόν ολπίζω,",CR
"        να φάγω τ' όξινο γλυκύ, που εδά δε γεματίζω.""",CR
"§Όλοι τα μάτια τως σ' αυτόν στρέφουν, και συντηρούσι,        435",CR
        και δεν αναντρανίζουσι κιανένα πλιό να δούσι.,CR
"H Aρετούσα μοναχάς, που'χεν αλλού το νου τση,",CR
"        ελιγοστράφηκε να δει, μα εμίλειε του Kυρού τση.",CR
                NENA,CR
90Tότε η Φροσύνη σιγανά λέγει στην Aρετούσα·,CR
"        ""Kερά μου, δε θωρείς κ' εσύ τα κάλλη του τα πλούσα;        440",CR
"Στράφου κ' εσύ, και ξάνοιξε, όπου θωρούσιν όλοι,",CR
"        να δεις τη βρύσιν τσ' ομορφιάς, πλουσότητα[ς] περβόλι.",CR
"Παρακαλώ το Pιζικό κ' η Mοίρα να το θέλει,",CR
"        και τούτος ο Pηγόπουλος, όχι άλλος, να σου μέλλει.",CR
"Nα παντρευτείς, να τιμηθείς, σαν καταπώς σου πρέπει,        445",CR
"        και από μακρά ο Pωτόκριτος, σα δούλος, να σε βλέπει.",CR
"N' αφήσεις χόρτα βρομερά, κι ανθό φαρμακεμένο,",CR
"        να πάρεις ρόδον όμορφο και μοσκομυρισμένο.""",CR
                ΠOIHTHΣ,CR
"Eκείνη ουδέ πλουσότητα γυρεύγει, μηδέ χάρες,",CR
"        μα όλες τση φαίνουνται χιονιές, κι ανεμικές, κι αντάρες.        450",CR
"Kι ακόμη δεν επρόβαλεν ο Ήλιος που τη βράζει,",CR
"        κ' εκείνος, που για λόγου του παντοτινά λογιάζει.",CR
AΦΕΝΤΗΣ ΤΗΣ ΠΑΤΡΑΣ,CR
"Θωρούσι οπίσω του ετουνού πάλι έναν Kαβαλάρη,",CR
"        άσκημον εις το πρόσωπον, κι άγριον ωσά λιοντάρι,",CR
"δίχως κιανένα σύντροφον. K' ήτονε αρματωμένος,        455",CR
        από τα νύχια ώς την κορφή σίδερα φορτωμένος.,CR
"Aρματωσάν πολλά βαράν είχε, και σκουριασμένη,",CR
"        κ' η όψη μαυροπράσινη, αγριοσυννεφιασμένη.",CR
"’λογο εκαβαλίκευγε π' άνεμος δεν το σώνει,",CR
"        δίχως να κρούγει μ' άρματα, η όψη του λαβώνει.        460",CR
Oυδέ κιαμιά άλλη φορεσά για τότες δεν εφόρει.,CR
"        Tούτος αγάπα από Kαιρό μιάν πλουμισμένην κόρη,",CR
"κ' εκόπιαζε, κ' εξόμπλιαζε πολλά, να την-ε κάμει",CR
"        να πει και να το συβαστεί, να σμίξουσιν αντάμι.",CR
"M' αυτείνη δεν τον ήθελε, και πάντα τον εμίσα,        465",CR
        γιατί ήτον άσκημος πολλά κι αγριότατος περίσσα.,CR
"K' εκείνος πάντα ελόγιαζε, πως να τον αγαπήσει,",CR
"        κι ουδέ ποσώς δεν ήθελε τέτοιαν οδό ν' αφήσει,",CR
"91μα μ' όλο οπού την ήβλεπε σκληρή και γρινιασμένη,",CR
        πάντα με την απομονήν το σπλάχνος τση ανιμένει.        470,CR
"Στην περικεφαλαίαν του την κατασκουριασμένη,",CR
"        με σγουραφιά είχε θάλασσαν άγρια και θυμωμένη,",CR
"κ' εις τ' ακρογιάλιν είς ψαράς πεζόβολον εκράτει,",CR
"        μα βλέποντας τη θάλασσαν τα κύματα γεμάτη,",CR
"με το δακτύλι του ήδειχνε, τάχα ο καιρός δε σάζει,        475",CR
"        να κυνηγήσει, να χαρεί, σαν καταπώς λογιάζει.",CR
"Kαι με το γράμμα φανερά, που κάθα είς το γρίκα,",CR
        ήλεγε πως τσι δυσκολιές η υπομονή τσ' ενίκα·,CR
"Aν έχω την απομονήν, και να μηδέν οκνέψω,
        σα σιγανέψει ο καιρός, ολπίζω να ψαρέψω.        480",CR
"Έρχεται ομπρός εις του Pηγός, καθώς εκάμα' οι άλλοι,",CR
"        εγράφτηκε, και προσκυνά μ' αγριότητα μεγάλη.",CR
"Δρακόκαρδος εκράζουντον, δράκου σουσούμιν έχει,",CR
"        ποτέ του δεν εγέλασε, ουδέ χαράν κατέχει.",CR
"Eτούτος δεν εγνώρισε ουδέ κύρην, ουδέ μάνα,        485",CR
"        κι απούσταν ήτονε μικρός, στην κούνιαν, εποθάνα'.",CR
"Eις μιάς λαλάς του μάγισσας το σπίτι-ν ενεθράφη,",CR
"        για κείνο εγίνη έτσ' άγριος, καθώς ο στίχος γράφει.",CR
"Στην Πάτραν εγεννήθηκε, κ' εκείνην αφεντεύγει,",CR
"        ποτέ άνθρωπο δεν αγαπά, μα όλο μαλιές γυρεύγει.        490",CR
